study_id,title,authors,year,venue,publication_type,doi,url
PS01,Robust Zero Knowledge Verifiable Watermarking of Code LLMs with ML/Crypto Co-Design,Ruisi Zhang; Neusha Javidnia; Nojan Sheybani; Noah Marosok; Ke Huang; Farinaz Koushanfar,2026,ACM Transactions on AI Security and Privacy,journal_article,10.1145/3840296,https://dl.acm.org/doi/10.1145/3840296
PS02,Toward Stronger Code Watermarking: A Grammar-Driven Approach to Optimizing the Trade-off Between Quality and Detectability,Licheng Yu; Aiwei Liu; Songze Li,2026,arXiv preprint arXiv:2607.10210,preprint,,https://arxiv.org/abs/2607.10210v1
PS03,Multi-Channel Spread-Spectrum Code Watermarking,Soohyeon Choi; Debin Gao; Yue Duan,2026,arXiv preprint arXiv:2607.06009,preprint,,https://arxiv.org/abs/2607.06009v1
PS04,PromptMark: A Prompt-Guided Iterative-Feedback Framework for Source Code Watermarking,Istiaq Ahmed Fahad; Mridha Md. Nafis Fuad; Kazi Sakib,2026,ENASE 2026,conference_paper,10.5220/0015012400004015,https://www.scitepress.org/publishedPapers/2026/150124/
PS05,MATRIX: Multi-Layer Code Watermarking via Dual-Channel Constrained Parity-Check Encoding,Yuqing Nie; Chong Wang; Guosheng Xu; Guoai Xu; Chenyu Wang; Haoyu Wang; Kailong Wang,2026,arXiv preprint arXiv:2604.16001,preprint,,https://arxiv.org/abs/2604.16001v1
PS06,SWaRL: Safeguard Code Watermarking via Reinforcement Learning,Neusha Javidnia; Ruisi Zhang; Ashish Kundu; Farinaz Koushanfar,2026,arXiv preprint arXiv:2601.02602,preprint,,https://arxiv.org/abs/2601.02602v2
PS07,CODE ACROSTIC: Robust Watermarking for Code Generation,Li Lin; Siyuan Xin; Yang Cao; Xiaochun Cao,2026,WISE 2025,conference_paper,10.1007/978-981-95-7251-9_35,https://link.springer.com/chapter/10.1007/978-981-95-7251-9_35
PS08,CLASP: Training-Free LLM-Assisted Source Code Watermarking via Semantic-Preserving Transformations,Rui Xu; Jiawei Chen; Weizhi Liu; Zhaoxia Yin; Cong Kong; Xinpeng Zhang,2026,arXiv preprint arXiv:2510.11251v2,preprint,,https://arxiv.org/abs/2510.11251v2
PS09,Marking Code Without Breaking It: Code Watermarking for Detecting LLM-Generated Code,Jungin Kim; Shinwoo Park; Yo-Sub Han,2026,Findings of EACL 2026,conference_paper,10.18653/v1/2026.findings-eacl.207,https://aclanthology.org/2026.findings-eacl.207/
PS10,MCGMark: An Encodable and Robust Online Watermark for Tracing LLM-Generated Malicious Code,Kaiwen Ning; Jiachi Chen; Qingyuan Zhong; Tao Zhang; Yanlin Wang; Wei Li; Jingwen Zhang; Jianxing Yu; Yuming Feng; Weizhe Zhang; Zibin Zheng,2025,arXiv preprint arXiv:2408.01354v2,preprint,,https://arxiv.org/abs/2408.01354v2
PS11,CODEIP: A Grammar-Guided Multi-Bit Watermark for Large Language Models of Code,Batu Guan; Yao Wan; Zhangqian Bi; Zheng Wang; Hongyu Zhang; Pan Zhou; Lichao Sun,2024,Findings of EMNLP 2024,conference_paper,10.18653/v1/2024.findings-emnlp.541,https://aclanthology.org/2024.findings-emnlp.541/
PS12,Efficient and Universal Watermarking for LLM-Generated Code Detection,Boquan Li; Zirui Fu; Mengdi Zhang; Peixin Zhang; Jun Sun; Xingmei Wang,2026,IEEE Transactions on Software Engineering,journal_article,10.1109/TSE.2026.3710556,https://ieeexplore.ieee.org/document/11595656
PS13,Who Wrote this Code? Watermarking for Code Generation,Taehyun Lee; Seokhee Hong; Jaewoo Ahn; Ilgee Hong; Hwaran Lee; Sangdoo Yun; Jamin Shin; Gunhee Kim,2024,ACL 2024,conference_paper,10.18653/v1/2024.acl-long.268,https://aclanthology.org/2024.acl-long.268/
PS14,Practical and Effective Code Watermarking for Large Language Models,Zhimeng Guo; Minhao Cheng,2025,NeurIPS 2025,conference_paper,10.52202/085713-2485,https://proceedings.neurips.cc/paper_files/paper/2025/hash/6b4cb812f234a92ab757d1544912b4a8-Abstract-Conference.html
PS15,CodeMark: Contextual and Natural Watermarking for Tracing Code Snippet Provenance,W. Li; B. Yang; Y. Sun; S. Chen; Y. Chen; L. Xiang,2025,IEEE Transactions on Dependable and Secure Computing,journal_article,10.1109/TDSC.2025.3594599,https://ieeexplore.ieee.org/document/11106704
PS16,Adaptive Code Watermarking Through Reinforcement Learning,Zhimeng Guo; Huaisheng Zhu; Siyuan Xu; Hangfan Zhang; Teng Xiao; Minhao Cheng,2026,ICML 2026,conference_paper,,https://icml.cc/virtual/2026/poster/66298
PS17,Entropy-Aware Watermarking for Code Generation Models,Ying Shi; Siyuan Bao; Hanzhou Wu; Jingyu Ye; Xinpeng Zhang,2026,Machine Learning for Cyber Security,conference_paper,10.1007/978-981-95-7820-7_13,https://link.springer.com/chapter/10.1007/978-981-95-7820-7_13
PS18,SrcMarker: Dual-Channel Source Code Watermarking via Scalable Code Transformations,B. Yang; W. Li; L. Xiang; B. Li,2024,IEEE Symposium on Security and Privacy,conference_paper,10.1109/SP54263.2024.00097,https://ieeexplore.ieee.org/document/10646683
PS19,A Code Generation Watermarking Method Based on Double Threshold,Yunsong He; Zhenkui Shi; Jiahao Zeng; Zhile Cao; Jinxing Chen; Xin Hu,2025,Advanced Intelligent Computing Technology and Applications,conference_paper,10.1007/978-981-96-9812-7_22,https://link.springer.com/chapter/10.1007/978-981-96-9812-7_22
PS20,Decomposition then Watermarking: Enhancing Code Traceability with Dual-Channel Code Watermarking,Haibo Lin; Zhong Li; Ruihua Ji; Minxue Pan; Tian Zhang; Nan Wu; Xuandong Li,2026,Automated Software Engineering 33:16,journal_article,10.1007/s10515-025-00561-1,https://link.springer.com/article/10.1007/s10515-025-00561-1
PS21,ASLang: Compiler-Driven Watermark Injection and Detection for Traceable AI Content Generation,Minghui Li; Yang Li; Liming Fang,2026,IEEE Transactions on Dependable and Secure Computing,journal_article,10.1109/TDSC.2026.3714372,https://ieeexplore.ieee.org/document/11617198
