usage_id,resource_id,method_id,use_role,languages_used,sample_or_split_details,notes,source_location
U001,R01,M13,evaluation,Python,not_reported,,"SWEET.pdf, Section 4"
U002,R01,M19,evaluation,Python,not_reported,,"DTW.pdf, Section 3"
U003,R01,M14,evaluation,Python,not_reported,,"ACW-Guo.pdf, Section 5"
U004,R01,M07,evaluation,Python,not_reported,,"CodeAcrostic.pdf, Section 5.1"
U005,R01,M01,evaluation,Python,not_reported,,"RoSeMary.pdf, Section 5"
U006,R01,M16,evaluation_and_training,Python,not_reported,,"CodeTracer.pdf, Section 5.1 and Appendix C.4"
U007,R01,M06,evaluation,Python,not_reported,,"SWaRL.pdf, Section 4.1"
U008,R01,M04,evaluation,Python,not_reported,,"PromptMark.pdf, Section 4"
U009,R01,M02,evaluation,Python,not_reported,,"GDW.pdf, Section 4"
U010,R01,M05,evaluation,Python,70 samples used for message-accuracy evaluation (HumanEval-G),,"MATRIX.pdf, Section IV"
U011,R01,M04,auxiliary,Python,human_written_solutions,Identifier-initial statistics used to define the candidate pool,"PromptMark.pdf, Section 3.2"
U012,R02,M13,evaluation,Python,"500 problems (test split, per Appendix D)",,"SWEET.pdf, Section 4"
U013,R02,M19,evaluation,Python,not_reported,,"DTW.pdf, Section 3"
U014,R02,M12,evaluation,Python,974 generated samples per LLM plus 974 human-written counterparts,GPT-4 GPT-4o and Qwen2.5-Coder-14B-FP16,"ACW-Li.pdf, Section IV-A"
U015,R02,M14,evaluation,Python,not_reported,,"ACW-Guo.pdf, Section 5"
U016,R02,M16,evaluation_and_training,Python,not_reported,,"CodeTracer.pdf, Section 5.1 and Appendix C.4"
U017,R02,M06,evaluation,Python,not_reported,,"SWaRL.pdf, Section 4.1"
U018,R02,M04,evaluation,Python,not_reported,,"PromptMark.pdf, Section 4"
U019,R02,M05,evaluation,Python,295 samples used for message-accuracy evaluation (MBPP-G),,"MATRIX.pdf, Section IV"
U020,R02,M04,auxiliary,Python,human_written_solutions,Identifier-initial statistics used to define the candidate pool,"PromptMark.pdf, Section 3.2"
U021,R03,M09,evaluation,Python,not_reported,,"STONE.pdf, Section 4"
U022,R03,M12,evaluation,Python,164 generated samples per LLM plus 164 human-written counterparts,GPT-4 GPT-4o and Qwen2.5-Coder-14B-FP16,"ACW-Li.pdf, Section IV-A"
U023,R03,M17,evaluation,Python,not_reported,,"EAW.pdf, Section 4"
U024,R03,M06,evaluation,Python,not_reported,,"SWaRL.pdf, Section 4.1"
U025,R03,M03,baseline_only,Python,820 paired watermarked/unwatermarked scores across 164 HumanEval+ problems (5 samples/problem),Used only for a reproduction of STONE and not to evaluate MCSS,"MultiChannel.pdf, Section 6"
U026,R04,M09,evaluation,Python,399_problems,The primary paper reports 399 MBPP+ problems whereas the review resource table reports the canonical 378-task sanitized subset,"STONE.pdf, Section 4 and Table 1"
U027,R04,M17,evaluation,Python,not_reported,,"EAW.pdf, Section 4"
U028,R04,M06,evaluation,Python,not_reported,,"SWaRL.pdf, Section 4.1"
U029,R04,M02,evaluation,Python,not_reported,,"GDW.pdf, Section 4"
U030,R05,M01,evaluation,Python,542_tasks,Review reports EvalPlus as a combined resource,"RoSeMary.pdf, Section 5"
U031,R06,M18,evaluation,C++; Java; JavaScript,MBCPP 764; MBJP 842; MBJSP 797,Canonical solutions used for executable validation,"SrcMarker.pdf, Table 2"
U032,R06,M20,evaluation,Python; C++; Java,not_reported,Transferred models,"DWC.pdf, Section 5"
U033,R06,M01,evaluation,Python; C++; Java,not_reported,,"RoSeMary.pdf, Section 5"
U034,R06,M08,evaluation,Python; C++; Java; JavaScript,not_reported,,"CLASP.pdf, Section 5.1"
U035,R07,M13,evaluation,C++; Java,not_reported,,"SWEET.pdf, Section 4"
U036,R07,M14,evaluation,Java; C++; JavaScript,not_reported,,"ACW-Guo.pdf, Section 5"
U037,R07,M09,evaluation,C++; Java,not_reported,,"STONE.pdf, Section 4"
U038,R07,M17,evaluation,Java; C++,not_reported,,"EAW.pdf, Section 4"
U039,R07,M16,evaluation,Java; C++,not_reported,,"CodeTracer.pdf, Section 5"
U040,R07,M02,evaluation,Java; Go,not_reported,,"GDW.pdf, Section 4"
U041,R08,M13,evaluation,Python,not_reported,,"SWEET.pdf, Section 4"
U042,R08,M19,evaluation,Python,not_reported,,"DTW.pdf, Section 3"
U043,R09,M13,evaluation,Python,100_classes,Class-level evaluation,"SWEET.pdf, Section 4"
U044,R10,M12,evaluation,Python,3035 generated samples per LLM plus 3035 human-written counterparts,GPT-4 GPT-4o and Qwen2.5-Coder-14B-FP16,"ACW-Li.pdf, Section IV-A"
U045,R10,M05,evaluation,Python,GPT-4 outputs; 760-sample seven-bit experiment; 361 could carry the codeword,,"MATRIX.pdf, Section IV"
U046,R11,M12,evaluation,Python,500 generated projects for GPT-4 and 500 for GPT-4o; 7465 executable functions,ChatDev uses SRDD for project generation; project-level preservation is assessed through valid syntax-tree nodes rather than executable tests,"ACW-Li.pdf, Section IV-A"
U047,R12,M11,evaluation,Python; Java; JavaScript; Go; PHP,100 functions per language; 500 prompts total,Docstrings and function declarations prompt generation; next 200 tokens are sampled,"CodeIP.pdf, Section 4.1"
U048,R12,M18,evaluation,Java; JavaScript,Java 173326 functions; JavaScript 63258 functions,Processed function counts after filtering,"SrcMarker.pdf, Table 2"
U049,R12,M12,evaluation,Python,500 human-written projects paired to each SRDD-generated project set,Used as human-written project-level negatives,"ACW-Li.pdf, Section IV-A"
U050,R12,M08,evaluation,Java; JavaScript,not_reported,Syntax checking and CodeBLEU because extracted functions are not independently executable,"CLASP.pdf, Section 5.1"
U051,R12,M15,evaluation_and_training,Java; JavaScript; Python,"Java 151,999/4,781/10,069; JavaScript 54,599/3,653/3,120; Python 112,178/3,871/9,962 (train/validation/test)",Existing functions rather than prompt-conditioned LLM outputs,"CodeMark.pdf, Section IV"
U052,R12,M20,evaluation_and_training,Java; Python,language_specific_splits,Java functions also aggregated by repository for project-level verification,"DWC.pdf, Section 5"
U053,R12,M01,training,not_reported,not_reported,,"RoSeMary.pdf, Section 5"
U054,R13,M03,evaluation,Python,1250 human files in five capacity buckets; 500 GPT-4.1/Llama-4 solutions,No executable validation reported,"MultiChannel.pdf, Section 6"
U055,R13,M03,baseline_training,Python,20000_files,Used to train the SrcMarker-Py baseline,"MultiChannel.pdf, Section 6"
