source,title,authors,year,venue,doi,url,abstract
Google Scholar,Who wrote this code? watermarking for code generation,"T Lee, S Hong, J Ahn, I Hong, H Lee…",2024,Proceedings of the …,,https://aclanthology.org/2024.acl-long.268/,"… We identified and emphasized the need for Code LLM watermarking, and formalized it for the first time. Despite the rapid advance of coding capability of LLMs, the necessary measures …"
Google Scholar,Marking code without breaking it: Code watermarking for detecting llm-generated code,"J Kim, S Park, YS Han",2026,Findings of the Association for …,,https://aclanthology.org/2026.findings-eacl.207/,"… Detecting Watermarks We assess how many green tokens are present in the code, and if this value surpasses a certain threshold, we conclude that the code was generated by an LLM. …"
Google Scholar,Practical and effective code watermarking for large language models,"Z Guo, M Cheng",2026,Advances in Neural Information …,,https://proceedings.neurips.cc/paper_files/paper/2025/hash/6b4cb812f234a92ab757d1544912b4a8-Abstract-Conference.html,"… Following the standard logit biasing approach outlined in Equation (2), we apply the watermarking bias δ to LLM’s generation logits, increasing the probabilities of tokens in green list …"
Google Scholar,No free lunch in llm watermarking: Trade-offs in watermarking design choices,"Q Pang, S Hu, W Zheng…",2024,Advances in Neural …,,https://proceedings.neurips.cc/paper_files/paper/2024/hash/fa86a9c7b9f341716ccb679d1aeb9afa-Abstract-Conference.html,"… design choices in LLM watermarking schemes make the … yet effective attacks on common watermarking systems, and … The code has the benign company’s watermark embedded, …"
Google Scholar,CodeIP: A grammar-guided multi-bit watermark for large language models of code,"B Guan, Y Wan, Z Bi, Z Wang, H Zhang…",2024,Findings of the …,,https://aclanthology.org/2024.findings-emnlp.541/,"… multibit soft watermarking method for LLM-based code generation. CODEIP inserts a watermark message based on the probability logits of LLMs during the code generation process, …"
Google Scholar,Robust and secure code watermarking for large language models via ml/crypto codesign,"R Zhang, N Javidnia, N Sheybani…",2025,arXiv preprint arXiv …,,https://arxiv.org/abs/2502.02068,"… This paper introduces RoSeMary, the first-of-itskind ML/Crypto codesign watermarking framework that regulates LLM-generated code to avoid intellectual property rights violations and …"
Google Scholar,Is the watermarking of LLM-generated code robust?,"T Suresh, S Ugare, G Singh, S Misailovic",2024,arXiv preprint arXiv:2403.17983,,https://arxiv.org/abs/2403.17983,"… of existing watermark techniques for LLM-generated Python code. … modifications can easily corrupt watermark detectability. We … for LLM-generated code, potentially by watermarking the …"
Google Scholar,Watermarking large language models and the generated content: opportunities and challenges,"R Zhang, F Koushanfar",2024,,,https://ieeexplore.ieee.org/abstract/document/10942607/?casa_token=66oD7i6UEQYAAAAA:4QF4ZF6tt3a-gX7sef4qxrYBLw6e6FCLUlsmO4CLhPeCK7FD9ZR6tJIw1D99lBFED0TotZTz,"… domain-specific models and data, such as those used in code generation, chip design, and medical … In this section, we introduce previous work on watermarking LLM-generated natural …"
Google Scholar,Robustness analysis of watermarking techniques for LLM-generated code,"D Cao, S Liu, J Zhang, Y Xiang",2025,IEEE Networking Letters,,https://ieeexplore.ieee.org/abstract/document/11186154/?casa_token=ZJokMTIAY-0AAAAA:ZtyqPgqwY-keb9vg9ZVSiggcpb7FveF1P2TOehK8qQprZsR-NqjgAzlP-fTFvkw_xEPeANeC,… -removal strategies and the exploration of more sophisticated code watermarking schemes. … study of watermark robustness in LLM-generated code against both watermark-removal and …
Google Scholar,CodeGenGuard: A Watermark for Code Generation Models,"B Yang, M Ma, L Xiang, N Chen, X Zhang…",2026,International …,,https://proceedings.iclr.cc/paper_files/paper/2026/hash/d02ff1aeaa5c268dc34790dd1ad21526-Abstract-Conference.html,… LLM watermarking aims at watermarking LLM-generated contents to trace machine-generated contents or defend against model thefts. This is typically achieved by manipulating logits (…
