source,title,authors,year,venue,doi,url,abstract
ScienceDirect,Sequence-level watermarking for large language models,Runnan Si; Xin Xie; Junxiao Wang; Xiulong Liu; Xiaoyi Tao; Xinyu Tong; Sheng Chen; Heng Qi; Keqiu Li,2026,Knowledge-Based Systems,10.1016/j.knosys.2026.116180,https://www.sciencedirect.com/science/article/pii/S0950705126009068,"With the growing adoption of large language models (LLMs), machine-generated text could flood the Internet with fake content. Text watermarking offers an effective strategy for distinguishing between human- and machine-authored text by embedding statistical signals during the LLM token generation process. This is achieved by biasing the model toward “green tokens”—a predefined vocabulary subset identified through a secret hashing mechanism. However, existing watermark detectors often fail in realistic scenarios where short segments of watermarked text are embedded within predominantly human-written content. This manipulation disrupts local token distributions, rendering traditional statistical watermarks ineffective. To address this challenge, we introduce a novel sequence-based Longest Run (LR) detection algorithm, which identifies machine-generated text by locating the longest consecutive sequence of green tokens. Unlike prior methods that rely on local token frequency statistics, our algorithm captures global sequence-level patterns, enabling robust detection of short snippets in mixed-content settings. Notably, although our approach relies on knowledge of the specific watermarking configuration, it requires neither access to model weights nor retraining, making it practical for deployment in any system utilizing the same watermarking scheme. Through extensive experiments, we demonstrate that our approach substantially reduces false positive rates and accelerates detection speed while maintaining high accuracy."
ScienceDirect,SALT: Semantic-guided adaptive latent space truncation sampling watermarking for diffusion models,Yuning Guo; Xuewen He; Yue He; Yong Chen,2026,Journal of Information Security and Applications,10.1016/j.jisa.2026.104549,https://www.sciencedirect.com/science/article/pii/S2214212626001791,"The rapid proliferation of diffusion models in content generation has underscored the critical need for result traceability and copyright protection. Existing latent space watermarking methods, however, often suffer from insufficient embedding robustness and a disregard for semantic structures. To address these limitations, we propose SALT, a training-free semantic-guided adaptive latent space truncation sampling watermarking framework for diffusion models. Guided by CLIP semantic priors, SALT utilizes a semantic activation projection to estimate semantic responses in the diffusion latent space. We further introduce a Gaussian spatial structural prior, which is fused with the semantic activation scores to construct a semantic importance distribution. Under the constraint of a controlled semantic mask, SALT performs distribution-preserving adaptive truncated sampling on semantically sensitive dimensions, while maintaining standard sampling on non-semantically sensitive dimensions, thereby enhancing the detectability and robustness of the watermark signal without destroying the statistical consistency of the latent space. Extensive experiments demonstrate that SALT achieves superior detection accuracy and robustness across various diffusion models and distortion scenarios while maintaining low FID and high semantic consistency, reflecting its efficiency and scalability potential in the trustworthy release and copyright protection of generative models."
ScienceDirect,Robust watermarks for audio diffusion models by quadrature amplitude modulation,Kyungryeol Lee; Seongmin Hong; Se Young Chun,2025,Pattern Recognition Letters,10.1016/j.patrec.2025.08.023,https://www.sciencedirect.com/science/article/pii/S0167865525003083,"Generative models enable the creation of high-quality digital content, including images, videos, and audio, making these tools increasingly accessible to users. As their use grows, so does the need for robust copyright protection mechanisms. Existing watermarking methods, primarily post-hoc, can safeguard the copyrights of users but fail to protect service providers, leaving room for intentional misuse, such as erasing watermarks and falsely claiming originality. To address this, previous works proposed integrating watermarks into the noise initialization of diffusion models for image generation, ensuring robustness against attacks like cut-and-paste. However, this approach has not been investigated for audio generation, where the 1D nature of audio data requires fundamentally different techniques. In this paper, we propose a novel barcode-like watermarking method for audio diffusion models, leveraging 4-quadrature amplitude modulation (4-QAM) to embed twice as much information as amplitude modulation methods for existing image generations. Our approach demonstrates significantly improved robustness against attacks, including cut-and-paste, and outperforms state-of-the-art audio watermarking techniques in preserving information and ensuring copyright protection for both users and service providers."
ScienceDirect,Blind audio watermarking for medical data authentication using fractional Charlier transform and adaptive dithered quantization index modulation,Salah Euschi; Narima Zermi; Sayah Med Moad; Amine Khaldi; Med Redouane Kafi; Aditya Kumar Sahu; Narimene Mimoune,2026,Systems and Soft Computing,10.1016/j.sasc.2026.200464,https://www.sciencedirect.com/science/article/pii/S2772941926000281,"Secure authentication and traceability of medical audio data remain critical challenges in modern telemedicine systems and digital health record management.. This paper proposes a novel blind and robust audio watermarking scheme for medical applications. The method combines the Fractional Charlier Transform (FrCT) for optimized time–frequency decomposition, local entropy analysis with critical-band masking for intelligent coefficient selection, and adaptive dithered quantization index modulation (ADQIM) for imperceptible watermark embedding. The proposed scheme provides comprehensive encryption of metadata including patient information and acquisition context through AES-based cryptographic mechanisms, while maintaining imperceptibility and embedding robustness. Comprehensive experimental validation on a diverse medical audio corpus demonstrates that the method achieves a practical payload capacity of 71.8 bits per second, high audio transparency with an SNR of 38.2 dB and a PESQ score of 4.15, and strong resilience against various signal processing attacks with an average BER of 3.2 %. The approach provides a computationally efficient solution suitable for integration into operational telemedicine platforms and large-scale medical archiving systems, offering reliable authentication and integrity verification of medical audio records."
ScienceDirect,A Robust DCT-Based Scheme for Watermarking Deep Neural Networks,Mohammed Baziyad; Ibrahim Kamel; Tamer Rabie; Grigory Kabatyansky,2024,Procedia Computer Science,10.1016/j.procs.2023.12.224,https://www.sciencedirect.com/science/article/pii/S1877050923022366,"This paper proposes a new robust scheme to provide copy protection services to Deep Nural Network (DNN) models using digital watermarks. The rationale of the proposed technique is that robustness can be achieved by embedding a large watermark that can span the whole watermark. If an adversary attempts to destroy the watermark, he will end up destroying the DNN model. However, maximizing the embedding capacity will strongly degrade the performance of the DNN model. To control the performance-capacity-robustness trade-of, the proposed scheme utilizes the Discrete Cosine Transform (DCT) due to its strong compaction property, which becomes even stronger when applied to correlated segments of data. Therefore, the proposed technique extracts the DNN weights and groups them within correlated segments before applying the DCT. The experimental results have proven the effectiveness of the proposed DNN watermarking scheme as it was able to embed 1.73 Mb of data with only a 1.4% drop in the classification accuracy of a standard Residual Neural Network with 21 Convolutional layers."
ScienceDirect,Keypoint-enhanced image watermarking with spatial-frequency mapping and perceptual optimization,Ying Huang; Na Guo; Fei Ge; Jie Liu; Guixuan Zhang; Zhi Zeng; Shuwu Zhang; Hu Guan,2026,Information Sciences,10.1016/j.ins.2026.123500,https://www.sciencedirect.com/science/article/pii/S0020025526004317,"The rapid advancement of AI-generated content (AIGC) makes robust watermarking essential for content authenticity and preventing misuse. Local watermarking, which embeds watermarks in specific image regions, is noted for strong cropping resistance and low visual distortion. However, such methods rely on keypoints for locating embedding regions, which are prone to drift or disappearance under attacks, leading to unreliable extraction. To enhance local watermarking robustness, we propose a method that simultaneously performs watermark embedding and keypoint enhancement through a single adaptive pixel modification, preventing interference. The superiority of our method is reflected in three aspects: (1) A joint optimization function is constructed to determine the optimal pixel modification that embeds the watermark while enhancing keypoint strength, improving resistance to attacks. (2) A mapping between the spatial and frequency domains allows direct modification of frequency coefficients in the spatial domain to embed the watermark, enhancing efficiency. (3) The overall modification is constrained by the Peak Signal-to-Noise Ratio (PSNR) and allocated pixel-wise based on the Just Noticeable Difference (JND) to ensure imperceptibility. Experimental results show our method achieves superior robustness over existing traditional and deep watermarking methods, while maintaining high visual quality with a PSNR above 40 dB under various typical attacks."
ScienceDirect,New Fragile Watermarking Technique to Identify Inserted Video Objects Using H.264 and Color Features,Raheem Ogla; Eman Shakar Mahmood; Rasha I. Ahmed; Abdul Monem S. Rahma,2023,"Computers, Materials and Continua",10.32604/cmc.2023.039818,https://www.sciencedirect.com/science/article/pii/S1546221823000085,"The transmission of video content over a network raises various issues relating to copyright authenticity, ethics, legality, and privacy. The protection of copyrighted video content is a significant issue in the video industry, and it is essential to find effective solutions to prevent tampering and modification of digital video content during its transmission through digital media. However, there are still many unresolved challenges. This paper aims to address those challenges by proposing a new technique for detecting moving objects in digital videos, which can help prove the credibility of video content by detecting any fake objects inserted by hackers. The proposed technique involves using two methods, the H.264 and the extraction color features methods, to embed and extract watermarks in video frames. The study tested the performance of the system against various attacks and found it to be robust. The evaluation was done using different metrics such as Peak-Signal-to-Noise Ratio (PSNR), Mean Squared Error (MSE), Structural Similarity Index Measure (SSIM), Bit Correction Ratio (BCR), and Normalized Correlation. The accuracy of identifying moving objects was high, ranging from 96.3% to 98.7%. The system was also able to embed a fragile watermark with a success rate of over 93.65% and had an average capacity of hiding of 78.67. The reconstructed video frames had high quality with a PSNR of at least 65.45 dB and SSIM of over 0.97, making them imperceptible to the human eye. The system also had an acceptable average time difference (T = 1.227/s) compared with other state-of-the-art methods."
ScienceDirect,A surrogate ensemble fusion framework for robust watermark extraction in black-box models,Zhao Zhang; Senlin Luo; Fengtong Xing; Limin Pan,2026,Information Fusion,10.1016/j.inffus.2026.104547,https://www.sciencedirect.com/science/article/pii/S1566253526004252,"Watermarking is widely used to protect the intellectual property of deep neural networks (DNNs), yet its robustness can be undermined by black-box extraction attacks in which adversaries attempt to recover embedded watermarks through query-only access to deployed models. Existing watermark extraction methods often suffer from unstable trigger generation, sensitivity to distribution shifts, and limited adaptability to heterogeneous model architectures. In particular, random perturbations may introduce excessive noise that weakens watermark activation, while direct extraction from trigger samples is vulnerable to embedding misalignment, reducing extraction fidelity. To address these challenges, we propose TSGM, a trigger-sample and surrogate-model-based framework for black-box watermark extraction. The trigger sample generation module constructs reliable watermark-activating queries using surrogate-guided adversarial perturbations combined with entropy and confidence evaluation, followed by dimensionality reduction to capture representative perturbation patterns. The heterogeneous surrogate construction module trains multiple architectures using the generated triggers and integrates them into a cascaded surrogate model to reproduce watermark-related behaviors. Finally, watermark extraction is performed by localizing watermark-sensitive neurons and decoding watermark information from parameter deviations within the surrogate model. Extensive experiments on benchmark datasets demonstrate that TSGM consistently outperforms state-of-the-art baselines in extraction success rate and watermark fidelity, confirming its robustness across diverse black-box scenarios."
ScienceDirect,A hybrid domain-based watermarking for vector maps utilizing a complementary advantage of discrete fourier transform and singular value decomposition,Chengyi Qu; Jinglong Du; Xu Xi; Huimin Tian; Jie Zhang,2024,Computers & Geosciences,10.1016/j.cageo.2023.105515,https://www.sciencedirect.com/science/article/pii/S0098300423002194,"Digital watermarking plays a crucial role in the copyright protecting of vector maps. Due to its solid theoretical foundation, Discrete Fourier transform (DFT) is frequently used in the construction of watermarking scheme for diverse electronic data. However, when applied to vector maps, DFT is particularly vulnerable to local changes in coordinate points, posing challenges in surviving coordinate point attacks and limiting its practicality. Furthermore, its resistance against geometric attacks is quite weak. To address these issues, we propose an algorithmic complementary strategy that enhances the performance of DFT-based vector map watermarking scheme. The proposed scheme is founded upon a hybrid transform domain consisting of DFT and singular value decomposition (SVD). The first step is to extract feature points using the Douglas Peucker algorithm, with the distance threshold set to a relative value to ensure synchronization of feature points throughout scaling. The feature points are then subjected to DFT to obtain magnitude coefficients, which are then further transformed using SVD. By combining the geometric invariance of magnitude coefficients with the singular vectors of SVD, an invariant with rotation, scaling, and translation invariance can be generated. For watermark embedding, the invariant serves as an embedding domain and are multiplied to minimize the impact on the host vector maps. The experimental results reveal that the proposed vector map watermarking has very low disturbance, substantially lower than the comparing algorithms, deriving in excellent invisibility. The scheme can extract watermark images with a normalized correlation value of 1 under a variety of attacks, including rotation, scaling, translation, vertex addition, simplification, and map cropping, and it can even extract identifiable copyright information under a 10% vertex deletion, demonstrating very comprehensive robustness."
ScienceDirect,PoWBWM: Proof of work consensus cryptographic blockchain-based adaptive watermarking system for tamper detection applications,P. Aberna; L. Agilandeeswari,2025,Alexandria Engineering Journal,10.1016/j.aej.2024.10.016,https://www.sciencedirect.com/science/article/pii/S1110016824011694,"Image tamper detection is a challenging area in multimedia research. The advances in photography technology have made it possible to capture real-time high-dynamic-range (HDR) images through an iPhone or an Android device, which highlights the need for rigorous research on HDR images for tamper detection, and localization. The algorithms built for standard images may affect the watermark visibility when it is applied to HDR images as this produces high perceptual variations in the image compared to the original. To tackle this problem, we presented a Proof of Work consensus blockchain watermarking scheme combined with a convolution attention model (PoWBWM) system for tamper detection and localization. The system utilizes a Convolution Attention model (CoAtNet) to generate robust watermarks. A quaternion graph-based transform (QGBT) for embedding, ensuring imperceptibility and robustness. A fuzzy inference system optimizes embedding regions and factors based on human visual system characteristics. The system's security is enhanced through blockchain's proof-of-work (consensus) mechanism, providing a semi-blind watermarking scheme that authenticates ownership and detects tampering efficiently. The security is ensured only when the embedded hash key is authentic with its previous block to proceed further extraction process. The proposed algorithm's performance is evaluated in terms of its visibility by Peak-Signal-to-Noise-Ratio (PSNR), Structural Similarity Index (SSIM), and the perceptual quality of an HDR image is additionally measured by the Visual Dynamic Predictor (VDP) metric. On the other hand, the robustness performance is measured by Normalized Correlation Coefficient (NCC) and Bit Error Rate (BER). The experimental results for CASIA images achieved the highest PSNR value of 63.84 dB, and the SSIM value of 1.000, whereas the maximum VDP value obtained for HDR images is 98.02. In comparison with the existing system, the experimental findings of the suggested model show an effective tamper detection watermarking system as well as a robust against both intentional and unintentional attacks with an average NCC value of 0.98."
