source,title,authors,year,venue,doi,url,abstract
Scopus,WFR-Guard: detecting poisoned training patterns via watermark anchors and randomized feature projections,"Hameed, Sana; Cui, Xiaohui; Imran, Naveed; Aurangzeb, Khursheed; Abdul, Wadood",2026,Journal of King Saud University - Computer and Information Sciences,10.1007/s44443-026-01139-x,https://www.scopus.com/pages/publications/105048733740?origin=resultslist,"Pattern recognition systems are now being deployed in high-stakes environments where data integrity is critical, but often untrusted. Data-poisoning attacks are a serious threat, allowing attackers to inject malicious samples that change the behavior of the model while keeping the validation accuracy seemingly unchanged. We propose WFR-Guard, a security-motivated, model-agnostic defense framework that combines cryptographic watermarking (WM) with randomized feature verification. WFR-Guard embeds imperceptible least significant bit (LSB) watermarks into trusted data subsets to enable verifiable provenance, while epoch-wise random projection disrupts adversarial alignment without requiring changes to the classifier architecture or a separate post-hoc retraining stage. We formalize a cryptographic security game, and bound the adversary’s success probability to below 3%. Extensive experiments on CIFAR-10, GTSRB, and PathMNIST under label flipping (LF), feature collision (FC), BadNets backdoor (BD), blended trigger (BT), and adaptive mimicry (AM) attacks demonstrate that WFR-Guard maintains ≥89% detection accuracy (DA) even at 50% poisoning intensity, while preserving clean-data accuracy up to 98.5%. The defense achieves low FPR, strong white-box robustness, and lightweight inference overhead (∼2.3 ms per image). These results establish WFR-Guard as a practical, verifiable solution for securing high-confidence pattern recognition systems against a wide range of data-poisoning attacks. The framework is particularly relevant for safety-critical applications where corrupted training data can lead to severe operational consequences, including intelligent transportation systems and AI-assisted healthcare platforms. © The Author(s) 2026."
Scopus,A Watermark for Black-Box Language Models,"Bahri, Dara; Wieting, John",2026,Transactions on Machine Learning Research,,https://www.scopus.com/pages/publications/105033951442?origin=resultslist,"Watermarking has recently emerged as an effective strategy for detecting the outputs of large language models (LLMs). Most existing schemes require white-box access to the model’s next-token probability distribution, which is typically not accessible to downstream users of an LLM API. In this work, we propose a principled watermarking scheme that requires only the ability to sample sequences from the LLM (i.e. black-box access), boasts a distortion-free property, and can be chained or nested using multiple secret keys. We provide performance guarantees, demonstrate how it can be leveraged when white-box access is available, and show when it can outperform existing white-box schemes via comprehensive experiments. © 2026, Transactions on Machine Learning Research. All rights reserved."
Scopus,TWT-LLM: A Universal and Robust Tagged Watermark for Large Language Models,"Zheng, Jibin; Ma, Li; Yang, Wenyin; Liu, Fen; Li, Yongqiang; Liu, Zhengbin",2025,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",10.1109/SMC58881.2025.11342733,https://www.scopus.com/pages/publications/105033144898?origin=resultslist,"Large Language Models (LLMs) generate realistic and coherent text, boosting efficiency and decision-making in various fields. However, their generative capabilities pose risks of intellectual property abuse. Watermarking technology offers a solution for information hiding in LLMs, with large model watermarking gaining attention for its unique methods. A critical challenge is embedding watermarks with minimal impact on text quality while ensuring rapid detection, making it an urgent issue to address. In this paper, to address these challenge, we propose a universal and robust tagged watermark technology for LLMs (TWT-LLM). Firstly, the method of TWT embeds a certain amount of watermark information in the sampling process while generating subsequent word text based on the prompt. Then, to enhance the quality of the generated text, we have proposed a group-based local watermark embedding method, which significantly reduces the impact on text quality. The method involves tagging tokens within each group, only the tokens that have been tagged will embed the watermark information. Moreover, to detect the watermark information in the generated text, we have designed a detection method specifically for this watermark embedding technique. Finally, we conducted experiments using the C4 and HC3 datasets, demonstrating that TWT-LLM achieves a lower False Negative Rate and is lighter compared to state-of-the-art methods. © 2025 IEEE."
Scopus,SleeperMark: Towards Robust Watermark against Fine-Tuning Text-to-image Diffusion Models,"Wang, Zilan; Guo, Junfeng; Zhu, Jiacheng; Li, Yiming; Huang, Heng; Chen, Muhao; Tu, Zhengzhong",2025,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,10.1109/CVPR52734.2025.00769,https://www.scopus.com/pages/publications/105045818484?origin=resultslist,"Recent advances in large-scale text-to-image (T2I) diffusion models have enabled a variety of downstream applications. As T2I models require extensive resources for training, they constitute highly valued intellectual property (IP) for their legitimate owners, yet making them incentive targets for unauthorized fine-tuning by adversaries seeking to leverage these models for customized, usually profitable applications. Existing IP protection methods for diffusion models generally involve embedding watermark patterns and then verifying ownership through generated outputs examination, or inspecting the model's feature space. However, these techniques are inherently ineffective in practical scenarios when the watermarked model undergoes fine-tuning, and the feature space is inaccessible during verification (i.e., black-box setting). The model is prone to forgetting the previously learned watermark knowledge when it adapts to a new task. To address this challenge, we propose SleeperMark, a novel framework designed to embed resilient watermarks into T2I diffusion models. SleeperMark explicitly guides the model to disentangle the watermark information from the semantic concepts it learns, allowing the model to retain the embedded watermark while continuing to be adapted to new downstream tasks. Our extensive experiments demonstrate the effectiveness of SleeperMark across various types of diffusion models, including latent diffusion models (e.g., Stable Diffusion) and pixel diffusion models (e.g., DeepFloyd-IF), showing robustness against downstream fine-tuning and various attacks at both the image and model levels, with minimal impact on the model's generative capability. The code is available at https://github.com/taco-group/SleeperMark. © 2025 IEEE."
Scopus,Graph Neural Network-Enhanced Semantic Invariant Robust Watermarking for Large Language Models,"Jia, Jingqi; Tian, Yunzhe; Zhao, Xinyi; Shi, Xiangyu; Ye, Ping; Cui, Xiaoshu; Gu, Yanfeng; Wu, Xingyu; Cheng, Dianjing; Niu, Wenjia",2025,"Proceedings - 2025 IEEE 10th International Conference on Data Science in Cyberspace, DSC 2025",10.1109/DSC67331.2025.00057,https://www.scopus.com/pages/publications/105033062483?origin=resultslist,"While large language models (LLMs) exhibit increasingly advanced capabilities in text generation, they also bring new challenges, such as the spread of AI-generated misinformation and potential copyright issues. Consequently, detecting text generated by LLMs has become a crucial task in the domains of AI ethics and safety. Although recent watermarking approaches have made notable progress in resisting paraphrasing attacks by leveraging semantic information, their dependence on static semantic representations limits their ability to fully capture the complex contextual dependencies between tokens. To address this limitation, we propose GNN-SIR (Graph Neural Network-enhanced Semantic Invariant Robust watermarking), a method that represents text as a graph structure, where nodes correspond to tokens and edges encode both positional and semantic relationships. This design allows the model to accurately capture deep structural features that remain invariant under paraphrasing or rewriting. Our dual-connection architecture combines both positional proximity and semantic similarity connections. When these graph representations are processed using Graph Attention Networks (GATs), the model can adaptively focus on semantically important token relationships. Building on this, we propose an aggregation mechanism that generates the final semantic embedding by combining token representations with dynamically assigned attention weights. Extensive experiments across a variety of attack scenarios demonstrate that GNN-SIR achieves an average detection F1 score of approximately 0.95, representing a 4% improvement over the best existing methods. These results show that our graph-based enhancement approach significantly improves detection performance against semantically-preserving attacks while maintaining high-quality text output. © 2025 IEEE."
Scopus,Artificial intelligence content detection techniques using watermarking: A survey,"Kumar, Nishant; Singh, Amit Kumar",2025,Image and Vision Computing,10.1016/j.imavis.2025.105728,https://www.scopus.com/pages/publications/105017565993?origin=resultslist,"The rapid advancement in AI-generated content has catalyzed artistic creation, advertising, and media dissemination. Despite their widespread applications across several domains, AI-generated content inherently poses risks of identity fraud, copyright violation and unauthorized use. Watermarking has emerged as a critical tool for copyright protection, allowing embedding of identification information in AI-generated content, and enhances traceability and verification without hurting user experience. In this study, we provide a systematic literature review of the technique for detecting AI content, especially text and images, using watermarking, spanning studies from 2010 to 2025. Studies included in this review were peer-reviewed articles that applied watermarking to effectively distinguish AI-generated content from real or human-written content. We report strong past and current approaches to detecting watermarking-based AI content, especially text and images. This includes an analysis of how watermarking methods are used on AI-generated content, their role in enhancing performance, and a detail comparative analysis of notable techniques. Furthermore, we discuss how these methods have been evaluated, identify the research gaps and potential solutions. Our findings provide valuable insights for future watermarking-based AI content detection researchers, applications and organizations seeking to implement watermarking solutions in potential applications. To the best of our knowledge, we are the first to explore the detection of AI content, especially text and image, detection using watermarking. © 2025 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies."
Scopus,Digital Watermarking Technology for AI-Generated Images: A Survey,"Luo, Huixin; Li, Li; Li, Juncheng",2025,Mathematics,10.3390/math13040651,https://www.scopus.com/pages/publications/85219058706?origin=resultslist,"The rapid advancement of AI-generated content (AIGC) has significantly improved the realism and accessibility of synthetic images. While large image generation models offer immense potential in creative industries, they also introduce serious challenges, including copyright infringement, content authentication, and the traceability of generated images. Digital watermarking has emerged as a promising approach to address these concerns by embedding imperceptible yet detectable signatures into generated images. This survey provides a comprehensive review of three core areas: (1) the evolution of image generation technologies, highlighting key milestones such as the transition from GANs to diffusion models; (2) traditional and state-of-the-art digital image watermarking algorithms, encompassing spatial domain, transform domain, and deep learning-based approaches; (3) watermarking methods specific to AIGC, including ownership authentication of AI model and diffusion model, and watermarking of AI-generated images. Additionally, we examine common performance evaluation metrics used in this field, such as watermark capacity, watermark detection accuracy, fidelity, and robustness. Finally, we discuss the unresolved issues and propose several potential directions for future research. We look forward to this paper offering valuable reference for academics in the field of AIGC watermarking and related fields. © 2025 by the authors."
Scopus,From Intentions to Techniques: A Comprehensive Taxonomy and Challenges in Text Watermarking for Large Language Models,"Lalai, Harsh Nishant; Ramakrishnan, Aashish Anantha; Shah, Raj Sanjay; Lee, Dongwon",2025,"2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Proceedings of the Conference Findings, NAACL 2025",10.18653/v1/2025.findings-naacl.343,https://www.scopus.com/pages/publications/105028670889?origin=resultslist,"With the rapid growth of Large Language Models (LLMs), safeguarding textual content against unauthorized use is crucial. Watermarking offers a vital solution, protecting both - LLM-generated and plain text sources. This paper presents a unified overview of different perspectives behind designing watermarking techniques through a comprehensive survey of the research literature. Our work has two key advantages: (1) We analyze research based on the specific intentions behind different watermarking techniques, evaluation datasets used, and watermarking addition and removal methods to construct a cohesive taxonomy. (2) We highlight the gaps and open challenges in text watermarking to promote research protecting text authorship. This extensive coverage and detailed analysis sets our work apart, outlining the evolving landscape of text watermarking in Language Models. ©2025 Association for Computational Linguistics."
Scopus,AdaptiveWatermark: Dynamic Watermarking for Large Language Models with Agent,"Peng, Qingze; Li, Daifeng",2025,"Proceedings of the IEEE International Conference on Trust, Security and Privacy in Computing and Communications, TrustCom",10.1109/Trustcom66490.2025.00374,https://www.scopus.com/pages/publications/105033642439?origin=resultslist,"Text watermarking embeds invisible yet detectable markers in generated content to prevent misuse of Large Language Models (LLMs). Existing methods either require fine-tuning or randomly select tokens from the vocabulary to form a green list, which increases generation likelihood. The former is computationally expensive, while the latter may degrade content quality. To address this, we propose Reinforcement Learning- based Adaptive WaterMarking (RLAWM), a novel framework using Reinforcement Learning (RL) to dynamically generate watermarks without fine-tuning. The watermark agent selects green-list tokens based on content semantics, while the detection agent identifies watermarks by analyzing green word frequency and provides feedback to improve concealment. To preserve quality, Maximum Mean Discrepancy (MMD) measures semantic differences between original and watermarked texts. Direct Preference Optimization (DPO) enables end-to-end training and system stability. On LLaMA2-7B, RLAWM improved TPR@1% by 2.48%, best F1 by 1.25%, and reduced perplexity by 3.45%. © 2025 IEEE."
Scopus,BiMarker: Enhancing text watermark detection for large language models with bipolar watermarks,"Li, Zhuang; Yi, Qiuping; Ji, Zongcheng; Lu, Yijian; Zou, Shun; Li, Yanqi; Xiao, Keyang; Liang, Hongliang",2026,Neurocomputing,10.1016/j.neucom.2026.133843,https://www.scopus.com/pages/publications/105038825685?origin=resultslist,"The rise of Large Language Models (LLMs) has raised concerns about differentiating AI-generated text from human-written content, and watermarking techniques provide a solution. However, we reveal that existing methods are limited in detection accuracy due to their reliance on coarse estimations of human text statistics. To address this limitation, we propose BiMarker, a novel bipolar watermarking and differential detection algorithm. BiMarker divides the text into two complementary segments—termed the positive pole and the negative pole—by adding different biases to create contrasting distributions of green tokens. By comparing green token distributions across these poles, rather than relying on fixed values, BiMarker improves watermark detectability. This approach enhances detection accuracy without increasing computational overhead or requiring prior knowledge. Theoretical analysis and experiments demonstrate its effectiveness and compatibility with existing entropy-based watermarking optimization methods, introducing a novel bipolar paradigm for enhancing watermark detection in LLM-generated content. © 2026 Elsevier B.V."
