source,title,authors,year,venue,doi,url,abstract
SpringerLink,Decomposition then watermarking: Enhancing code traceability with dual-channel code watermarking,Haibo LinZhong LiRuihua JiMinxue PanTian ZhangNan WuXuandong Li,2025,Automated Software Engineering,10.1007/s10515-025-00561-1,https://link.springer.com/article/10.1007/s10515-025-00561-1,
SpringerLink,CODE ACROSTIC: Robust Watermarking for Code Generation,Li LinSiyuan XinYang CaoXiaochun Cao,2026,Web Information Systems Engineering – WISE 2025,10.1007/978-981-95-7251-9_35,https://link.springer.com/chapter/10.1007/978-981-95-7251-9_35,
SpringerLink,Building intelligence identification system via large language model watermarking: a survey and beyond,Xuhong WangHaoyu JiangYi YuJingru YuYilun LinPing YiYingchun WangYu QiaoLi LiFei-Yue Wang,2025,Artificial Intelligence Review,10.1007/s10462-025-11222-w,https://link.springer.com/article/10.1007/s10462-025-11222-w,
SpringerLink,Scalable watermarking for identifying large language model outputs,Sumanth DathathriAbigail SeeSumedh GhaisasPo-Sen HuangRob McAdamJohannes WelblVandana BachaniAlex KaskasoliRobert StanforthTatiana MatejovicovaJamie HayesNidhi VyasMajd Al MereyJonah Brown-CohenRudy BunelBorja BalleTaylan CemgilZahra AhmedKitty StacpooleIlia ShumailovCiprian BaetuSven GowalDemis HassabisPushmeet Kohli,2024,Nature,10.1038/s41586-024-08025-4,https://link.springer.com/article/10.1038/s41586-024-08025-4,
SpringerLink,A Code Generation Watermarking Method Based on Double Threshold,Yunsong HeZhenkui ShiJiahao ZengZhile CaoJinxing ChenXin Hu,2025,Advanced Intelligent Computing Technology and Applications,10.1007/978-981-96-9812-7_22,https://link.springer.com/chapter/10.1007/978-981-96-9812-7_22,
SpringerLink,Entropy-Aware Watermarking for Code Generation Models,Ying ShiSiyuan BaoHanzhou WuJingyu YeXinpeng Zhang,2026,Machine Learning for Cyber Security,10.1007/978-981-95-7820-7_13,https://link.springer.com/chapter/10.1007/978-981-95-7820-7_13,
SpringerLink,Watermarking techniques for large language models: a survey,Yuqing LiangJiancheng XiaoWensheng GanPhilip S. Yu,2026,Artificial Intelligence Review,10.1007/s10462-025-11474-6,https://link.springer.com/article/10.1007/s10462-025-11474-6,
SpringerLink,Beyond Detection: A Checksum-Based Dual Verification Mechanism for Host LLM Watermarking,Xiaofan DengJunfeng ZhuKexin YuYongtao Yu,2026,Neural Information Processing,10.1007/978-981-95-4381-6_24,https://link.springer.com/chapter/10.1007/978-981-95-4381-6_24,
SpringerLink,Copyright Protection for Large Language Model EaaS via Unforgeable Backdoor Watermarking,Cong KongJiawei ChenShunquan TanZhaoxia YinXinpeng Zhang,2025,Pattern Recognition,10.1007/978-3-031-78498-9_1,https://link.springer.com/chapter/10.1007/978-3-031-78498-9_1,
SpringerLink,"Overview of PAN 2026: Voight-Kampff Generative AI Detection, Text Watermarking, Multi-author Writing Style Analysis, Generative Plagiarism Detection, and Reasoning Trajectory Detection",Janek BevendorffMaik FröbeAndré Greiner-PetterAndreas JakobyMaximilian MayerlPreslav NakovHenry PlutzMartin PotthastBenno SteinMinh Ngoc TaYuxia WangEva Zangerle,2026,Advances in Information Retrieval,10.1007/978-3-032-21321-1_32,https://link.springer.com/chapter/10.1007/978-3-032-21321-1_32,
