source,title,authors,year,venue,doi,url,abstract
ACM Digital Library,Protecting Intellectual Property of Large Language Model-Based Code Generation APIs via Watermarks,Zongjie Li; Chaozheng Wang; Shuai Wang; Cuiyun Gao,2023,Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3576915.3623120,https://doi.org/10.1145/3576915.3623120,"The rise of large language model-based code generation (LLCG) has enabled various commercial services and APIs. Training LLCG models is often expensive and time-consuming, and the training data are often large-scale and even inaccessible to the public. As a result, the risk of intellectual property (IP) theft over the LLCG models (e.g., via imitation attacks) has been a serious concern. In this paper, we propose the first watermark (WM) technique to protect LLCG APIs from remote imitation attacks. Our proposed technique is based on replacing tokens in an LLCG output with their ""synonyms"" available in the programming language. A WM is thus defined as the stealthily tweaked distribution among token synonyms in LLCG outputs. We design six WM schemes (instantiated into over 30 WM passes) which rely on conceptually distinct token synonyms available in programming languages. Moreover, to check the IP of a suspicious model (decide if it is stolen from our protected LLCG API), we propose a statistical tests-based procedure that can directly check a remote, suspicious LLCG API.We evaluate our WM technique on LLCG models fine-tuned from two popular large language models, CodeT5 and CodeBERT. The evaluation shows that our approach is effective in both WM injection and IP check. The inserted WMs do not undermine the usage of normal users (i.e., high fidelity) and incur negligible extra cost. Moreover, our injected WMs exhibit high stealthiness and robustness against powerful attackers; even if they know all WM schemes, they can hardly remove WMs without largely undermining the accuracy of their stolen models."
ACM Digital Library,LLM-MARK: A Computing Framework on Efficient Watermarking of Large Language Models for Authentic Use of Generative AI at Local Devices,Shiyu Guo; Yuhao Ju; Xi Chen; Jie Gu,2024,Proceedings of the 61st ACM/IEEE Design Automation Conference,10.1145/3649329.3656545,https://doi.org/10.1145/3649329.3656545,"As generative AI such as ChatGPT rapidly evolves, the increasing incidence of data misconduct such as the proliferation of counterfeit news or unauthorized use of Large Language Models (LLMs) presents a significant challenge for consumers to obtain authentic information. While new watermarking schemes are recently being proposed to protect the intellectual property (IP) of LLM, the computation cost is unfortunately too high for the targeted real-time execution on local devices. In this work, a specialized hardware-efficient watermarking computing framework is proposed enabling model authentication at local devices. By employing the proposed hardware hashing for fast lookup and pruned bitonic sorting network acceleration, the developed architecture framework enables fast and efficient watermarking of LLM on the small local devices. The proposed architecture is evaluated on Xilinx XCZU15EG FPGA, demonstrating 30x computing speed-up, making this architecture highly suitable for integration into local mobile devices. The proposed algorithm to architecture codesign framework offers a practical solution to the immediate challenges posed by LLM misuse, providing a feasible hardware solution for Intellectual Property protection in the era of generative AI."
ACM Digital Library,DuCodeMark: Dual-Purpose Code Dataset Watermarking via Style-Aware Watermark-Poison Design,Yuchen Chen; Yuan Xiao; Chunrong Fang; Zhenyu Chen; Baowen Xu,2026,Proc. ACM Softw. Eng.,10.1145/3797076,https://doi.org/10.1145/3797076,"The proliferation of large language models for code (CodeLMs) and open-source contributions has heightened concerns over unauthorized use of source code datasets. While watermarking provides a viable protection mechanism by embedding ownership signals, existing methods rely on detectable trigger-target patterns and are limited to source-code tasks, overlooking other scenarios such as decompilation tasks. In this paper, we propose DuCodeMark, a stealthy and robust dual-purpose watermarking method for code datasets that generalizes across both source-code tasks and decompilation tasks. DuCodeMark parses each code sample into an abstract syntax tree (AST), applies language-specific style transformations to construct stealthy trigger-target pairs, and injects repressible poisoned features into a subset of return-typed samples to enhance robustness against watermark removal or evasion. These features remain inactive during normal training but are activated upon watermark removal, degrading model performance. For verification, DuCodeMark employs a black-box method based on the independent-samples t-test. We conduct a comprehensive evaluation of DuCodeMark across 72 settings spanning two code tasks, two programming languages, three CodeLMs, and six decoding temperatures. The results demonstrate that it consistently achieves strong verifiability (p < 0.05), high stealthiness (suspicion rate ≤ 0.36), robustness against both watermark and poisoning attacks (recall ≤ 0.57), and a substantial drop in model performance upon watermark removal (Pass@1 drops by 28.6"
ACM Digital Library,PreferCare: Preference Dataset Copyright Protection in LLM Alignment by Watermark Injection and Verification,Jian Lou; Chenyang Zhang; Xiaoyu Zhang; Kai Wu,2025,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3719027.3765223,https://doi.org/10.1145/3719027.3765223,"With the urgent need to enhance the safety of LLM applications, there has been a growing focus on alignment training algorithms designed to keep large language models (LLMs) behaving in alignment with human values. Alignment training algorithms rely heavily on preference datasets, which are essential for finetuning LLMs to follow human preferences. However, generating and annotating these datasets is often costly and labor-intensive, making it critical to protect their copyright against unauthorized use. In this paper, we propose PreferCare, the first framework tailor-made for preference dataset copyright protection via watermark injection and verification. PreferCare comprises two consecutive stages: injection and verification. In the injection stage, a style transfer-based watermark signal and a bi-level watermark optimization process are designed to embed the watermark into the preference dataset. In the verification stage, we employ statistical tests to determine whether a suspect LLM has used the watermarked preference dataset without authorization. Extensive experiments on multiple popular LLMs have demonstrated that PreferCare achieves effectiveness, harmlessness, transferability, and robustness across diverse settings, and can successfully verify the watermark within 20 queries."
ACM Digital Library,Robust Zero Knowledge Verifiable Watermarking of Code LLMs with ML/Crypto Co-Design,Ruisi Zhang; Neusha Javidnia; Nojan Sheybani; Noah Marosok; Ke Huang; Farinaz Koushanfar,2026,ACM Trans. AI Secur. Priv.,10.1145/3840296,https://doi.org/10.1145/3840296,"Watermarking has emerged as a viable tool for protecting intellectual property (IP) in large language model (LLM)-generated code. A major challenge, however, is the low-entropy nature of code, which constrains the space for high-quality watermarking signatures satisfying the detectability-fidelity-robustness tri-objective. Legal verification requires disclosing the signature to third-party arbitrators, and alternative signatures need to be encoded for artifact reuse to avoid forgery and tampering, which further strains the already limited high-quality signatures and reduces code usability. This paper introduces RoSeMary, a novel framework that secures high-quality code LLM watermark through ML/Crypto co-design. The end-to-end framework: (i) preserves code functionality, (ii) enhances detectability and robustness by leveraging pre-trained CodeT5 for better feature extraction and adversarial training, and (iii) customizes zero-knowledge proofs for efficient and secure verification without disclosing signatures to third parties. Extensive evaluations show RoSeMary achieves high detection accuracy, preserves code functionality, resists attacks, and enables efficient zero-knowledge verification."
ACM Digital Library,Breaking Semantic-Aware Watermarks via LLM-Guided Coherence-Preserving Semantic Injection,Zheng Gao; Xiaoyu Li; Zhicheng Bao; Xiaoyan Feng; Jiaojiao Jiang,2026,Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792912,https://doi.org/10.1145/3774904.3792912,"Generative images have proliferated on Web platforms in social media and online copyright distribution scenarios, and semantic watermarking has increasingly been integrated into diffusion models to support reliable provenance tracking and forgery prevention for web content. Traditional noise-layer-based watermarking, however, remains vulnerable to inversion attacks that can recover embedded signals. To mitigate this, recent content-aware semantic watermarking schemes bind watermark signals to high-level image semantics, constraining local edits that would otherwise disrupt global coherence. Yet, large language models (LLMs) possess structured reasoning capabilities that enable targeted exploration of semantic spaces, allowing locally fine-grained but globally coherent semantic alterations that invalidate such bindings. To expose this overlooked vulnerability, we introduce a Coherence-Preserving Semantic Injection (CSI) attack that leverages LLM-guided semantic manipulation under embedding-space similarity constraints. This alignment enforces visual-semantic consistency while selectively perturbing watermark-relevant semantics, ultimately inducing detector misclassification. Extensive empirical results show that CSI consistently outperforms prevailing attack baselines against content-aware semantic watermarking, revealing a fundamental security weakness of current semantic watermark designs when confronted with LLM-driven semantic perturbations."
ACM Digital Library,RTLMarker: Protecting LLM-Generated RTL Copyright via a Hardware Watermarking Framework,Kun Wang; Kaiyan Chang; Mengdi Wang; Xingqi Zou; Haobo Xu; Yinhe Han; Ying Wang,2025,Proceedings of the 30th Asia and South Pacific Design Automation Conference,10.1145/3658617.3697774,https://doi.org/10.1145/3658617.3697774,"Recent advances of large language models in the field of Verilog generation have raised several ethical and security concerns, such as code copyright protection and dissemination of malicious code. Researchers have employed watermarking techniques to identify codes generated by large language models. However, the existing watermarking works fail to protect RTL code copyright due to the significant syntactic and semantic differences between RTL code and software code in languages such as Python. This paper proposes a hardware watermarking framework RTLMarker that embeds watermarks into RTL code and deeper into the synthesized netlist. We propose a set of rule-based Verilog code transformations, ensuring the watermarked RTL code's syntactic and semantic correctness. In addition, we consider an inherent tradeoff between watermark transparency and watermark effectiveness and jointly optimize them. The results demonstrate RTLMarker's superiority over the baseline in RTL code watermarking."
ACM Digital Library,"LLM Unlearning on Noisy Forget Sets: A Study of Incomplete, Rewritten, and Watermarked Data",Changsheng Wang; Yihua Zhang; Dennis Wei; Jinghan Jia; Pin-Yu Chen; Sijia Liu,2026,Proceedings of the 18th ACM Workshop on Artificial Intelligence and Security,10.1145/3733799.3762973,https://doi.org/10.1145/3733799.3762973,"Large language models (LLMs) exhibit remarkable generative capabilities but raise ethical and security concerns by memorizing sensitive data, reinforcing biases, and producing harmful content. These risks have spurred interest in LLM unlearning, the task of removing knowledge associated with undesirable data from pre-trained models. However, most existing methods assume access to clean, well-defined forget data samples, whereas real-world forget data could often be low-quality, synthetically rewritten, or watermarked, casting doubt on the reliability of unlearning. This work presents the first study of unlearning under perturbed or low-fidelity forget data, referred to as noisy forget sets. By systematically benchmarking state-of-the-art LLM unlearning methods, RMU and NPO, on such noisy forget sets, we find that unlearning remains surprisingly robust to perturbations, provided that core semantic signals are preserved. To explain this robustness, we propose a saliency-based interpretation: key semantic components that drive forgetting remain consistently influential despite substantial variation in surface form. This suggests that unlearning algorithms are primarily guided by deep semantic cues rather than shallow lexical patterns."
ACM Digital Library,A Survey on Proactive Deepfake Defense: Disruption and Watermarking,Hong-Hanh Nguyen-Le; Van-Tuan Tran; Thuc Nguyen; Nhien-An Le-Khac,2025,ACM Comput. Surv.,10.1145/3771296,https://doi.org/10.1145/3771296,"The rapid proliferation of generative AI has led to led to unprecedented capabilities in synthesizing realistic deepfakes (DFs) across multiple modalities. This raises significant concerns regarding privacy, security, and copyright protection. Unlike passive detection approaches that operate after DFs have been created and distributed, proactive defense mechanisms aim at preventing the generation of malicious synthetic content at its source. This article provides a comprehensive survey of current proactive DF defense strategies, including Disruption and Watermarking. Disruption approaches protect individuals’ data by introducing imperceptible perturbations that prevent unauthorized exploitation by generative models, while watermarking approaches embed verifiable messages into data or models to enable content authentication and attribution. We also analyze proactive approaches across various evaluation metrics (imperceptibility, protectability/detectability, transferability, traceability, and robustness), and examine their effectiveness in real-world settings. Furthermore, we review the evolution of DF generation techniques, highlighting their rapid developments. Finally, we identify key challenges and promising future research directions to enhance proactive defense mechanisms."
ACM Digital Library,PuzzleMark: Implicit Jigsaw Learning for Robust Code Dataset Watermarking in Neural Code Completion Models,Haocheng Huang; Yuchen Chen; Weisong Sun; Peizhuo Lv; Yuan Xiao; Chunrong Fang; Yang Liu; Xiaofang Zhang,2026,Proc. ACM Softw. Eng.,10.1145/3797122,https://doi.org/10.1145/3797122,"Constructing and curating high-quality code datasets requires significant resources, making them valuable intellectual property. Unfortunately, these datasets currently face severe risks of unauthorized use. Although digital watermarking offers a post hoc mechanism for copyright authentication, existing methods are predominantly based on the co-occurrence pattern, which is not robust and is susceptible to watermark detection and removal attacks. In this paper, we propose PuzzleMark, a robust watermarking method for code datasets. To reduce the risk of watermark exposure, PuzzleMark introduces a carrier selection strategy that leverages code complexity to evaluate the suitability of code snippets as watermark carriers, and selects those with high suitability for watermarking. To enhance the robustness of the watermark, PuzzleMark proposes a novel concatenation pattern to replace the traditional co-occurrence pattern, and implements two watermarking strategies through variable name concatenation. PuzzleMark adaptively embeds watermarks based on the inherent characteristics of the code, making it more stealthy while maintaining design simplicity. For watermark verification, PuzzleMark employs Fisher’s exact test to verify suspicious models under a black-box setting. Experimental results demonstrate that PuzzleMark achieves a 100 percent verification success rate and a 0 percent false positive rate, with negligible impact on model performance. Both our human study and our evaluation using four state-of-the-art watermark detection methods show that PuzzleMark exhibits strong imperceptibility, with an average suspicious rate ≤ 0.24 and an average recall ≤ 30.41 percent, respectively. Furthermore, the consistent retention of verifiability under two attack scenarios further corroborates the robustness of PuzzleMark. As a practical digital watermarking method, PuzzleMark provides strong protection for the intellectual property of code datasets and offers new insights for future research."
