title,authors,year,venue,doi,url,reason_for_exclusion
LLM-MARK: A Computing Framework on Efficient Watermarking of Large Language Models for Authentic Use of Generative AI at Local Devices,"Guo, Shiyu; Ju, Yuhao; Chen, Xi; Gu, Jie",2024,Proceedings of the 61st ACM/IEEE Design Automation Conference,10.1145/3649329.3656545,https://doi.org/10.1145/3649329.3656545,General generative-AI-content watermarking; not code-specific.
PreferCare: Preference Dataset Copyright Protection in LLM Alignment by Watermark Injection and Verification,"Lou, Jian; Zhang, Chenyang; Zhang, Xiaoyu; Wu, Kai",2025,CCS 2025 - Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3719027.3765223,https://doi.org/10.1145/3719027.3765223,General LLM watermarking; not code-specific.
Breaking Semantic-Aware Watermarks via LLM-Guided Coherence-Preserving Semantic Injection,Zheng Gao; Xiaoyu Li; Zhicheng Bao; Xiaoyan Feng; Jiaojiao Jiang,2026,Proceedings of the ACM Web Conference 2026,10.1145/3774904.3792912,https://doi.org/10.1145/3774904.3792912,General LLM watermarking; not code-specific.
RTLMarker: Protecting LLM-Generated RTL Copyright via a Hardware Watermarking Framework,"Wang, Kun; Chang, Kaiyan; Wang, Mengdi; Zou, Xingqi; Xu, Haobo; Han, Yinhe; Wang, Ying",2025,"Proceedings of the Asia and South Pacific Design Automation Conference, ASP-DAC",10.1145/3658617.3697774,https://doi.org/10.1145/3658617.3697774,Hardware-description-language watermarking; different substrate than software source code.
"LLM Unlearning on Noisy Forget Sets: A Study of Incomplete, Rewritten, and Watermarked Data",Changsheng Wang; Yihua Zhang; Dennis Wei; Jinghan Jia; Pin-Yu Chen; Sijia Liu,2026,Proceedings of the 18th ACM Workshop on Artificial Intelligence and Security,10.1145/3733799.3762973,https://doi.org/10.1145/3733799.3762973,General LLM watermarking; not code-specific.
A Survey on Proactive Deepfake Defense: Disruption and Watermarking,Hong-Hanh Nguyen-Le; Van-Tuan Tran; Thuc Nguyen; Nhien-An Le-Khac,2025,ACM Comput. Surv.,10.1145/3771296,https://doi.org/10.1145/3771296,Generative-image-model (diffusion/GAN) watermarking; unrelated to code.
An Efficient White-box LLM Watermarking for IP Protection on Online Market Platforms,"Yuan, Shuguang; Su, Xingyu; Lv, Peizhuo; Xue, Weiji; Yu, Jing; Zhu, Xiaojie; Chen, Chi",2025,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/3711896.3736841,https://doi.org/10.1145/3711896.3736841,General LLM watermarking; not code-specific.
WatermarkGuard: Token Distribution Watermarking with Semantic Protection and Robustness Verification for LLM Intellectual Property Protection,"Fu, Jiahao; Chen, Xingjun; Lu, Renyan",2026,"CTSD 2026, Proceedings of 2026 International Conference on Computer Technology and Sustainable Development",10.1145/3814210.3814215,https://doi.org/10.1145/3814210.3814215,General LLM watermarking; not code-specific.
Watermarking Large Vision-Language Models: The Vision Encoder is all You Need,Boussad Addad; Katarzyna Kapusta; Olivier Bettan,2026,Proceedings of the 2026 ACM Workshop on Information Hiding and Multimedia Security,10.1145/3785353.3815079,https://doi.org/10.1145/3785353.3815079,Image watermarking; unrelated to code.
Where Watermark Meets Beauty: Expert-Guided Aesthetic Visible Watermarking for Digital Artworks,"Ran, Changjuan; Liu, Fang; Fang, Runqi; Meng, Xiangyu; Cui, Shenglan; Ye, Yunfan",2025,"MM 2025 - Proceedings of the 33rd ACM International Conference on Multimedia, Co-Located with MM 2025",10.1145/3746027.3754738,https://doi.org/10.1145/3746027.3754738,Invisible/visible/reversible watermarking (established image-domain terms); unrelated to code.
Securing Large Language Models: A Survey of Watermarking and Fingerprinting Techniques,"Ye, Peigen; Ren, Huali; Li, Zhengdao; Yan, Anli; Yan, Hongyang; Wang, Shaowei; Li, Jin",2026,ACM Computing Surveys,10.1145/3773028,https://doi.org/10.1145/3773028,General LLM watermarking; not code-specific.
Insecure AI Image Watermarking - Is it Really Damaging The Future?,Ankur Deshpande; Vineeth Billa Kanti,2026,Proceedings of the 2025 9th International Conference on Computer Science and Artificial Intelligence,10.1145/3788149.3788154,https://doi.org/10.1145/3788149.3788154,Image watermarking; unrelated to code.
Evading Watermark based Detection of AI-Generated Content,"Jiang, Zhengyuan; Zhang, Jinghuai; Gong, Neil Zhenqiang",2023,CCS 2023 - Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3576915.3623189,https://doi.org/10.1145/3576915.3623189,General generative-AI-content watermarking; not code-specific.
SLIC: Secure Learned Image Codec through Compressed Domain Watermarking to Defend Image Manipulation,"Huang, Chen-Hsiu; Wu, Ja-Ling",2024,"Proceedings of the 6th ACM International Conference on Multimedia in Asia, MMAsia 2024",10.1145/3696409.3700161,https://doi.org/10.1145/3696409.3700161,Image watermarking; unrelated to code.
