title,authors,year,venue,doi,url,reason_for_exclusion
CodeWMBench: An Automated Benchmark for Code Watermarking Evaluation,"Wu, BenLong; Chen, Kejiang; He, Yanru; Chen, Guoqiang; Zhang, Weiming; Yu, Nenghai",2024,Proceedings of the ACM Turing Award Celebration Conference - China 2024,10.1145/3674399.3674447,https://doi.org/10.1145/3674399.3674447,"Benchmark evaluating eight existing code watermarking methods; no new watermarking method is proposed, so it is a secondary study retained for evaluation-resource context, not counted as primary."
Backdoor Watermarking for Continuous Prompt Learning Models in Industrial Systems,Kongyang Chen; Chuwen Pang; Xiaolin Wang; Tiancai Liang; Jiaxing Shen,2026,ACM Trans. Auton. Adapt. Syst.,10.1145/3820766,https://doi.org/10.1145/3820766,"Backdoor watermark embedded in a prompt-tuned model's parameters; verifies the model, not generated code."
DeCoMa: Detecting and Purifying Code Dataset Watermarks through Dual Channel Code Abstraction,Yuan Xiao; Yuchen Chen; Shiqing Ma; Haocheng Huang; Chunrong Fang; Yanwei Chen; Weisong Sun; Yunfeng Zhu; Xiaofang Zhang; Zhenyu Chen,2025,Proc. ACM Softw. Eng.,10.1145/3728952,https://doi.org/10.1145/3728952,"Proposes a watermark detection/removal (purification) attack against code dataset watermarks, not a watermarking method itself; retained for robustness context, not counted as primary."
The Watermark Paradox: How Provenance Verification Paves the Road to Camouflaged Backdoors,"Zhang, Haoyi; Ran, Huaijin; Kim, Kisub; Tang, Xunzhu",2026,FSE Companion 2026 - Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3805553,https://doi.org/10.1145/3803437.3805553,Critical-reflection essay on code-watermarking research direction; proposes no watermarking method.
ChainMarks: Securing DNN Watermark with Cryptographic Chain,"Choi, Brian; Wang, Shu; Choi, Isabelle; Sun, Kun",2025,Proceedings of the 20th ACM Asia Conference on Computer and Communications Security,10.1145/3708821.3736214,https://doi.org/10.1145/3708821.3736214,"DNN model watermarking (trigger-set/backdoor based); verifies the model, not generated code."
Hot-Swap MarkBoard: An Efficient Black-box Watermarking Approach for Large-scale Model Distribution,Zhicheng Zhang; Peizhuo Lv; Mengke Wan; Jiang Fang; Diandian Guo; Yezeng Chen; Yinlong Liu; Wei Ma; Jiyan Sun; Liru Geng,2025,Proceedings of the 33rd ACM International Conference on Multimedia,10.1145/3746027.3755345,https://doi.org/10.1145/3746027.3755345,"On-device model watermarking for IP protection during model distribution; verifies the model, not generated code."
Reliable Model Watermarking: Defending against Theft without Compromising on Evasion,"Zhu, Hongyu; Liang, Sichu; Hu, Wentao; Fangqi, Li; Jia, Ju; Wang, Shi-Lin",2024,MM 2024 - Proceedings of the 32nd ACM International Conference on Multimedia,10.1145/3664647.3681610,https://doi.org/10.1145/3664647.3681610,"Trigger-set model watermarking against theft; verifies the model, not generated code."
Neural Dehydration: Effective Erasure of Black-box Watermarks from DNNs with Limited Data,"Lu, Yifan; Li, Wenxuan; Zhang, Mi; Pan, Xudong; Yang, Min",2024,CCS 2024 - Proceedings of the 2024 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3658644.3690334,https://doi.org/10.1145/3658644.3690334,"DNN watermark-removal attack (evasion study); no new watermarking method proposed, and targets the model, not code."
Did You Train on My Dataset? Towards Public Dataset Protection with CleanLabel Backdoor Watermarking,Ruixiang Tang; Qizhang Feng; Ninghao Liu; Fan Yang; Xia Hu,2023,SIGKDD Explor. Newsl.,10.1145/3606274.3606279,https://doi.org/10.1145/3606274.3606279,Generic (non-code) public-dataset copyright protection via backdoor watermarking; not a code dataset or code-generation context.
"""Training robust watermarking model may hurt authentication!'' Exploring and Mitigating the Identity Leakage in Robust Watermarking",Xinyu Zhang; Ziping Dong; Qingyu Liu; Yuan Hong; Zhongjie Ba; Kui Ren,2026,arXiv preprint,,http://arxiv.org/abs/2605.09646v1,Confirmed image watermarking (post-processing watermarking of AI-generated images); unrelated to code.
Optimal Multi-bit Generative Watermarking Schemes Under Worst-Case False-Alarm Constraints,Yu-Shin Huang; Chao Tian; Krishna Narayanan,2026,arXiv preprint,,http://arxiv.org/abs/2604.08759v1,Theoretical multi-bit LLM text-watermarking scheme; no code-specific connection.
Disappearing Ink: Obfuscation Breaks N-gram Code Watermarks in Theory and Practice,Gehao Zhang; Mingzhe Li; Eugene Bagdasarian; Shiqing Ma; Juan Zhai,2025,arXiv preprint,,http://arxiv.org/abs/2507.05512v2,"Theoretical and empirical attack study showing obfuscation defeats N-gram watermarks; no new watermarking method is proposed, so it is retained for robustness context, not counted as primary."
WaterDrum: Watermarking for Data-centric Unlearning Metric,Xinyang Lu; Xinyuan Niu; Gregory Kang Ruey Lau; Bui Thi Cam Nhung; Rachael Hwee Ling Sim; John Russell Himawan; Fanyu Wen; Chuan-Sheng Foo; See-Kiong Ng; Bryan Kian Hsiang Low,2025,arXiv preprint arXiv …,,http://arxiv.org/abs/2505.05064v2,Uses text watermarking to build an LLM-unlearning evaluation metric/dataset; not a code-artifact watermark.
Large Language Model Watermark Stealing With Mixed Integer Programming,Zhaoxi Zhang; Xiaomei Zhang; Yanjun Zhang; Leo Yu Zhang; Chao Chen; Shengshan Hu; Asif Gill; Shirui Pan,2024,arXiv preprint arXiv …,,http://arxiv.org/abs/2405.19677v1,"Attack (green/red-list watermark stealing) on generic natural-language LLM watermarking; no new method proposed, not code-specific."
Is The Watermarking Of LLM-Generated Code Robust?,"Suresh, Tarun; Ugare, Shubham; Singh, Gagandeep; Misailovic, Sasa",2024,2nd Tiny Papers Track at ICLR 2024 - Tiny Papers @ ICLR 2024,,http://arxiv.org/abs/2403.17983v4,"Independent robustness evaluation of existing watermarking techniques (novel AST-based attack algorithm); does not introduce or substantially adapt a watermarking method, so per protocol it is a secondary/independent-evaluation study retained for context and robustness evidence, not counted as primary."
PromptCARE: Prompt Copyright Protection by Watermark Injection and Verification,Hongwei Yao; Jian Lou; Kui Ren; Zhan Qin,2024,2024 IEEE Symposium on Security and Privacy (SP),10.1109/SP54263.2024.00209,https://ieeexplore.ieee.org/document/10646612,"Protects the copyright of a prompt template via watermarking; verifies the prompt, not generated code."
