title,authors,year,venue,doi,url,abstract,exclusion_reason
Protecting Intellectual Property of Large Language Model-Based Code Generation APIs via Watermarks,"Li, Zongjie; Wang, Chaozheng; Wang, Shuai; Gao, Cuiyun",2023,CCS 2023 - Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3576915.3623120,https://doi.org/10.1145/3576915.3623120,"The rise of large language model-based code generation (LLCG) has enabled various commercial services and APIs. Training LLCG models is often expensive and time-consuming, and the training data are often large-scale and even inaccessible to the public. As a result, the risk of intellectual property (IP) theft over the LLCG models (e.g., via imitation attacks) has been a serious concern. In this paper, we propose the first watermark (WM) technique to protect LLCG APIs from remote imitation attacks. Our proposed technique is based on replacing tokens in an LLCG output with their “synonyms” available in the programming language. A WM is thus defined as the stealthily tweaked distribution among token synonyms in LLCG outputs. We design six WM schemes (instantiated into over 30 WM passes) which rely on conceptually distinct token synonyms available in programming languages. Moreover, to check the IP of a suspicious model (decide if it is stolen from our protected LLCG API), we propose a statistical tests-based procedure that can directly check a remote, suspicious LLCG API. We evaluate our WM technique on LLCG models fine-tuned from two popular large language models, CodeT5 and CodeBERT. The evaluation shows that our approach is effective in both WM injection and IP check. The inserted WMs do not undermine the usage of normal users (i.e., high fidelity) and incur negligible extra cost. Moreover, our injected WMs exhibit high stealthiness and robustness against powerful attackers; even if they know all WM schemes, they can hardly remove WMs without largely undermining the accuracy of their stolen models. © 2023 Copyright held by the owner/author(s).","Introduces ToSyn, a synonym-substitution watermarking scheme that protects code-generation APIs against imitation attacks, assigning each API user a 34-bit identifier encoded across six transformation schemes. Published at ACM CCS 2023. It protects the API/service against imitation by statistically testing suspicious downstream models, rather than tracing the provenance of an individual generated code artifact, so it sits outside this review's scope."
DuCodeMark: Dual-Purpose Code Dataset Watermarking via Style-Aware Watermark-Poison Design,Yuchen Chen; Yuan Xiao; Chunrong Fang; Zhenyu Chen; Baowen Xu,2026,Proceedings of the ACM on …,10.1145/3797076,https://doi.org/10.1145/3797076,"The proliferation of large language models for code (CodeLMs) and open-source contributions has heightened concerns over unauthorized use of source code datasets. While watermarking provides a viable protection mechanism by embedding ownership signals, existing methods rely on detectable trigger-target patterns and are limited to source-code tasks, overlooking other scenarios such as decompilation tasks. In this paper, we propose DuCodeMark, a stealthy and robust dual-purpose watermarking method for code datasets that generalizes across both source-code tasks and decompilation tasks. DuCodeMark parses each code sample into an abstract syntax tree (AST), applies language-specific style transformations to construct stealthy trigger-target pairs, and injects repressible poisoned features into a subset of return-typed samples to enhance robustness against watermark removal or evasion. These features remain inactive during normal training but are activated upon watermark removal, degrading model performance. For verification, DuCodeMark employs a black-box method based on the independent-samples $t$-test. We conduct a comprehensive evaluation of DuCodeMark across 72 settings spanning two code tasks, two programming languages, three CodeLMs, and six decoding temperatures. The results demonstrate that it consistently achieves strong verifiability ($p < 0.05$), high stealthiness (suspicion rate $\leq$ 0.36), robustness against both watermark and poisoning attacks (recall $\leq$ 0.57), and a substantial drop in model performance upon watermark removal (Pass@1 drops by 28.6%), underscoring its practicality and resilience.","Introduces DuCodeMark, a dual-purpose watermarking method for code datasets that survives both source-code and decompilation tasks. It embeds AST-based style-transformation trigger-poison pairs and confirms ownership with a black-box statistical test on the trained model's outputs, evaluated across 72 experimental settings. It protects the training dataset rather than an individual piece of code an LLM generates for an end user: verification means querying a suspect downstream model, not inspecting a code sample found in the wild, which puts it outside this review's focus on watermarking the generated artifact itself."
PuzzleMark: Implicit Jigsaw Learning for Robust Code Dataset Watermarking in Neural Code Completion Models,Haocheng Huang; Yuchen Chen; Weisong Sun; Peizhuo Lv; Yuan Xiao; Chunrong Fang; Yang Liu; Xiaofang Zhang,2026,Proc. ACM Softw. Eng.,10.1145/3797122,https://doi.org/10.1145/3797122,"Constructing and curating high-quality code datasets requires significant resources, making them valuable intellectual property. Unfortunately, these datasets currently face severe risks of unauthorized use. Although digital watermarking offers a post hoc mechanism for copyright authentication, existing methods are predominantly based on the co-occurrence pattern, which is not robust and is susceptible to watermark detection and removal attacks. In this paper, we propose PuzzleMark, a robust watermarking method for code datasets. To reduce the risk of watermark exposure, PuzzleMark introduces a carrier selection strategy that leverages code complexity to evaluate the suitability of code snippets as watermark carriers, and selects those with high suitability for watermarking. To enhance the robustness of the watermark, PuzzleMark proposes a novel concatenation pattern to replace the traditional co-occurrence pattern, and implements two watermarking strategies through variable name concatenation. PuzzleMark adaptively embeds watermarks based on the inherent characteristics of the code, making it more stealthy while maintaining design simplicity. For watermark verification, PuzzleMark employs Fisher’s exact test to verify suspicious models under a black-box setting. Experimental results demonstrate that PuzzleMark achieves a 100 percent verification success rate and a 0 percent false positive rate, with negligible impact on model performance. Both our human study and our evaluation using four state-of-the-art watermark detection methods show that PuzzleMark exhibits strong imperceptibility, with an average suspicious rate ≤ 0.24 and an average recall ≤ 30.41 percent, respectively. Furthermore, the consistent retention of verifiability under two attack scenarios further corroborates the robustness of PuzzleMark. As a practical digital watermarking method, PuzzleMark provides strong protection for the intellectual property of code datasets and offers new insights for future research.","Introduces PuzzleMark, a watermarking method for code datasets used to train neural code-completion models. It picks watermark carriers based on code complexity and embeds signals through a novel variable-name concatenation pattern, verified with Fisher's exact test in a black-box setting; reports 100% verification success with strong imperceptibility. It protects the training dataset rather than a generated code artifact, though: verification runs a statistical test against a suspicious trained model rather than inspecting a piece of generated code, which puts it outside this review's scope."
Optimizing Token Choice for Code Watermarking: An RL Approach,Zhimeng Guo; Huaisheng Zhu; Siyuan Xu; Hangfan Zhang; Teng Xiao; Minhao Cheng,2025,arXiv preprint arXiv …,,http://arxiv.org/abs/2508.11925v3,"Protecting intellectual property on LLM-generated code necessitates effective watermarking systems that can operate within code's highly structured, syntactically constrained nature. In this work, we introduce CodeTracer, an innovative adaptive code watermarking framework underpinned by a novel reinforcement learning training paradigm. At its core, CodeTracer features a policy-driven approach that utilizes a parameterized model to intelligently bias token choices during next-token prediction. This strategy ensures that embedded watermarks maintain code functionality while exhibiting subtle yet statistically detectable deviations from typical token distributions. To facilitate policy learning, we devise a comprehensive reward system that seamlessly integrates execution feedback with watermark embedding signals, balancing process-level and outcome-level rewards. Additionally, we employ Gumbel Top-k reparameterization to enable gradient-based optimization of discrete watermarking decisions. Extensive comparative evaluations demonstrate CodeTracer's significant superiority over state-of-the-art baselines in both watermark detectability and the preservation of generated code's functionality. Our code is available at https://github.com/TimeLovercc/CodeTracer.","This is an earlier arXiv preprint of the same method (identical authors, near-identical text), later published at ICML 2026 under the title 'Adaptive Code Watermarking Through Reinforcement Learning'. Kept the newer, peer-reviewed version instead."
Robust and Secure Code Watermarking for Large Language Models via ML/Crypto Codesign,Ruisi Zhang; Neusha Javidnia; Nojan Sheybani; Farinaz Koushanfar,2025,arXiv preprint arXiv …,,http://arxiv.org/abs/2502.02068v3,"This paper introduces RoSeMary, the first-of-its-kind ML/Crypto codesign watermarking framework that regulates LLM-generated code to avoid intellectual property rights violations and inappropriate misuse in software development. High-quality watermarks adhering to the detectability-fidelity-robustness tri-objective are limited due to codes' low-entropy nature. Watermark verification, however, often needs to reveal the signature and requires re-encoding new ones for code reuse, which potentially compromising the system's usability. To overcome these challenges, RoSeMary obtains high-quality watermarks by training the watermark insertion and extraction modules end-to-end to ensure (i) unaltered watermarked code functionality and (ii) enhanced detectability and robustness leveraging pre-trained CodeT5 as the insertion backbone to enlarge the code syntactic and variable rename transformation search space. In the deployment, RoSeMary uses zero-knowledge proofs for secure verification without revealing the underlying signatures. Extensive evaluations demonstrated RoSeMary achieves high detection accuracy while preserving the code functionality. RoSeMary is also robust against attacks and provides efficient secure watermark verification.","This is an earlier arXiv preprint of the same RoSeMary framework (same core authors), later published as 'Robust Zero Knowledge Verifiable Watermarking of Code LLMs with ML/Crypto Co-Design' in ACM Transactions on AI Security and Privacy. Kept the newer, peer-reviewed version instead."
Towards Code Watermarking with Dual-Channel Transformations,Borui Yang; Wei Li; Liyao Xiang; Bo Li,2023,arXiv preprint arXiv:2309.00860,,http://arxiv.org/abs/2309.00860v2,"The expansion of the open source community and the rise of large language models have raised ethical and security concerns on the distribution of source code, such as misconduct on copyrighted code, distributions without proper licenses, or misuse of the code for malicious purposes. Hence it is important to track the ownership of source code, in which watermarking is a major technique. Yet, drastically different from natural languages, source code watermarking requires far stricter and more complicated rules to ensure the readability as well as the functionality of the source code. Hence we introduce SrcMarker, a watermarking system to unobtrusively encode ID bitstrings into source code, without affecting the usage and semantics of the code. To this end, SrcMarker performs transformations on an AST-based intermediate representation that enables unified transformations across different programming languages. The core of the system utilizes learning-based embedding and extraction modules to select rule-based transformations for watermarking. In addition, a novel feature-approximation technique is designed to tackle the inherent non-differentiability of rule selection, thus seamlessly integrating the rule-based transformations and learning-based networks into an interconnected system to enable end-to-end training. Extensive experiments demonstrate the superiority of SrcMarker over existing methods in various watermarking requirements.","This is an earlier arXiv preprint of the same method (same authors, same core text), later published as 'SrcMarker: Dual-Channel Source Code Watermarking via Scalable Code Transformations' at IEEE S&P 2024. Kept the newer, peer-reviewed version instead."
Towards Tracing Code Provenance with Code Watermarking,Wei Li; Borui Yang; Yujie Sun; Suyu Chen; Ziyun Song; Liyao Xiang; Xinbing Wang; Chenghu Zhou,2023,arXiv preprint arXiv …,,http://arxiv.org/abs/2305.12461v1,"Recent advances in large language models have raised wide concern in generating abundant plausible source code without scrutiny, and thus tracing the provenance of code emerges as a critical issue. To solve the issue, we propose CodeMark, a watermarking system that hides bit strings into variables respecting the natural and operational semantics of the code. For naturalness, we novelly introduce a contextual watermarking scheme to generate watermarked variables more coherent in the context atop graph neural networks. Each variable is treated as a node on the graph and the node feature gathers neighborhood (context) information through learning. Watermarks embedded into the features are thus reflected not only by the variables but also by the local contexts. We further introduce a pre-trained model on source code as a teacher to guide more natural variable generation. Throughout the embedding, the operational semantics are preserved as only variable names are altered. Beyond guaranteeing code-specific properties, CodeMark is superior in watermarking accuracy, capacity, and efficiency due to a more diversified pattern generated. Experimental results show CodeMark outperforms the SOTA watermarking systems with a better balance of the watermarking requirements.","This is an earlier arXiv preprint introducing the same CodeMark method (overlapping authors), later published and extended as 'CodeMark: Contextual and Natural Watermarking for Tracing Code Snippet Provenance' in IEEE TDSC. Kept the newer, peer-reviewed version instead."
CodeGenGuard: A Watermark for Code Generation Models,"B Yang, M Ma, L Xiang, N Chen, X Zhang…",2026,International …,,https://proceedings.iclr.cc/paper_files/paper/2026/hash/d02ff1aeaa5c268dc34790dd1ad21526-Abstract-Conference.html,"Code language models (LMs) represent valuable intellectual property (IP) as their training involves immense investments, including large-scale code corpora, proprietary annotations, extensive computational resources, and specialized designs. Hence the threat of model IP infringements such as unauthorized redistribution or model theft has become increasingly concerning. While neural network watermarking has been widely studied as a measure to support model ownership verification, watermarking code LMs is particularly challenging due to the seemingly conflicting requirements of code generation: adhering to strict syntactic rules and semantic consistency while allowing flexible changes to embed watermarks, keeping high fidelity of the generated content while being robust to extraction attacks, etc. To resolve the issues, we propose CodeGenGuard, a watermarking framework for code LMs. CodeGenGuard leverages semantic-preserving transformations (SPTs) to encode the watermark and incorporates a dead-code-based data augmentation pipeline to diversify SPT patterns. To improve robustness, we incorporate an efficient dual-LoRA shadow training scheme and an optimizable trigger prompt that learns to extract watermark from both the watermarked and the shadow models. As most SPTs take place in specific contexts, we implant auxiliary prompts during verification to encourage the generation of the context, further enhancing the detection rate. Evaluation results on representative code generation models demonstrate that CodeGenGuard achieves superior watermarking performance to the state-of-the-art.","Introduces CodeGenGuard, aimed at protecting the code-generation model itself rather than its outputs: it embeds watermarks via semantic-preserving transformations reinforced by dead-code-based data augmentation and a dual-LoRA shadow-training scheme, extracted through optimized trigger prompts. Accepted at ICLR 2026. This is model-ownership verification rather than watermarking of an individual generated code artifact, so it falls outside this review's scope."
AST-Level Semantic Watermarking Framework for AI-Generated Code: Robust Provenance Attribution via Structural Invariants,AA Nataala,2026,,,https://www.researchsquare.com/article/rs-10418588/latest,"The rapid proliferation of Large Language Models (LLMs) specialized in automated code generation has revolutionized software engineering while simultaneously introducing severe vulnerabilities concerning intellectual property (IP) theft, academic dishonesty, and software supply chain integrity. Existing code watermarking techniques predominantly operate during inference-time autoregressive decoding, biasing token selection via logits manipulation. However, these text-level and entropy-based watermarks exhibit catastrophic fragility when exposed to standard software maintenance workflows and semantic-preserving transformations, such as automated formatting, variable renaming, and dead-code injection. This paper proposes a novel, post-hoc, structure-aware watermarking framework that operates directly upon the Abstract Syntax Tree (AST) of the generated source code. By formalizing an invariant dictionary of deterministic, semantics-preserving mutations specifically commutative operand swapping, independent statement reordering, and control flow morphing the proposed framework embeds cryptographically verifiable signatures into the syntactic topology of the program without altering functional behavior or computational Big-O complexity. Detection is executed via a blind statistical extraction engine employing a one-proportion Z-test against a uniform null hypothesis. Experimental evaluation across standard benchmarks demonstrates that the AST-level framework achieves 100.0% detection fidelity on formatted code, 98.2% true positive rate under aggressive variable renaming, and 95.5% resilience against dead code injection, significantly outperforming state-of-the-art logits-based (UMD) and entropy-based (SWEET) baselines while maintaining a false positive rate strictly below 1.0%. This architecture establishes a scalable, model-agnostic provenance defense suitable for deployment across enterprise code assistants.","Its citations don't hold up: two real papers ('Practical and Effective Code Watermarking for Large Language Models' and 'Marking Code Without Breaking It') are attributed to an author, 'Zhang, M.', who didn't write either of them. Several references are unrelated to the topic (conference call-for-papers pages, generic statistics tutorials). The reported 5,000-script evaluation names no dataset and no baseline implementation, and attributes its own numbers to papers that never reported them, so the technical contribution can't be trusted."
CLMTracing: Black-box User-level Watermarking for Code Language Model Tracing,"Zhang, Boyu; He, Ping; Du, Tianyu; Zhang, Xuhong; Yun, Lei; Chow, Kingsum; Yin, Jianwei",2025,"EMNLP 2025 - 2025 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",10.18653/v1/2025.emnlp-main.1475,https://aclanthology.org/2025.emnlp-main.1475/,"With the widespread adoption of open-source code language models (code LMs), intellectual property (IP) protection has become an increasingly critical concern. While current watermarking techniques have the potential to identify the code LM to protect its IP, they have limitations when facing the more practical and complex demand, i.e., offering the individual user-level tracing in the black-box setting. This work presents CLMTracing, a black-box code LM watermarking framework employing the rule-based watermarks and utility-preserving injection method for user-level model tracing. CLMTracing further incorporates a parameter selection algorithm sensitive to the robust watermark and adversarial training to enhance the robustness against watermark removal attacks. Comprehensive evaluations demonstrate CLMTracing is effective across multiple state-of-the-art (SOTA) code LMs, showing significant harmless improvements compared to existing SOTA baselines and strong robustness against various removal attacks. © 2025 Association for Computational Linguistics.","Introduces CLMTracing, a black-box watermarking framework for tracing individual users of an open-source code language model, combining rule-based watermarks with a utility-preserving injection method and adversarial training for robustness. Verification targets the model itself, identifying which user's copy it is, rather than an individual piece of generated code, which puts it outside this review's scope."
