title,authors,year,venue,doi,url,abstract,inclusion_reason,evaluation
Robust Zero Knowledge Verifiable Watermarking of Code LLMs with ML/Crypto Co-Design,Ruisi Zhang; Neusha Javidnia; Nojan Sheybani; Noah Marosok; Ke Huang; Farinaz Koushanfar,2026,ACM Trans. AI Secur. Priv.,10.1145/3840296,https://dl.acm.org/doi/10.1145/3840296,"Watermarking has emerged as a viable tool for protecting intellectual property (IP) in large language model (LLM)-generated code. A major challenge, however, is the low-entropy nature of code, which constrains the space for high-quality watermarking signatures satisfying the detectability-fidelity-robustness tri-objective. Legal verification requires disclosing the signature to third-party arbitrators, and alternative signatures need to be encoded for artifact reuse to avoid forgery and tampering, which further strains the already limited high-quality signatures and reduces code usability. This paper introduces RoSeMary, a novel framework that secures high-quality code LLM watermark through ML/Crypto co-design. The end-to-end framework: (i) preserves code functionality, (ii) enhances detectability and robustness by leveraging pre-trained CodeT5 for better feature extraction and adversarial training, and (iii) customizes zero-knowledge proofs for efficient and secure verification without disclosing signatures to third parties. Extensive evaluations show RoSeMary achieves high detection accuracy, preserves code functionality, resists attacks, and enables efficient zero-knowledge verification.","Introduces RoSeMary, a watermarking framework for code produced by Code LLMs that pairs a pretrained CodeT5 encoder with zero-knowledge proofs, letting a third party confirm a recovered signature matches the owner's without ever learning it. Published in ACM Transactions on AI Security and Privacy.",9.0/10 — Broad evaluation plus a genuine methodological contribution (a non-interactive zero-knowledge proof letting a third party verify a signature without learning it); the one gap is that no detectability/recovery trend is established across payload lengths.
Toward Stronger Code Watermarking: A Grammar-Driven Approach to Optimizing the Trade-off Between Quality and Detectability,Licheng Yu; Aiwei Liu; Songze Li,2026,arXiv preprint arXiv:2607.10210,,http://arxiv.org/abs/2607.10210v1,"With the rapid development of Large Language Models (LLMs), text watermarking has emerged as a crucial technique for identifying machine-generated content. However, directly applying existing logits-based watermarking methods to code generation remains challenging, since the low-entropy nature of code exacerbates the trade-off between code quality and watermark detectability. In this paper, we propose a novel code watermarking approach called Grammar-Driven Watermark (GDW) for LLMs. GDW preserves syntactic validity through a grammar-guided three-level masking mechanism and injects watermark signals via structural role-aware modulation, assigning a stronger bias to content-bearing tokens while applying a more conservative bias to syntax-critical tokens. Aligning with the generation process, we further design a role-aware weighted detection statistic to improve detectability. Experiments across multiple programming languages, models, and decoding strategies show that GDW establishes a stronger quality-detectability trade-off frontier than existing methods, while maintaining robustness against variable-renaming attacks.","Introduces GDW (Grammar-Driven Watermark), which applies a three-level masking mechanism, giving content-bearing tokens a stronger bias while treating syntax-critical tokens conservatively, then detects the signal with a role-aware weighted statistic. Tested across multiple languages, models, and decoding strategies.","7.0/10 — Reasonable technical idea tested across multiple languages, models, and decoding strategies, but as an unreviewed preprint the only detail available is at abstract level, so evaluation rigor is harder to confirm."
Multi-Channel Spread-Spectrum Code Watermarking,Soohyeon Choi; Debin Gao; Yue Duan,2026,arXiv preprint arXiv:2607.06009,,http://arxiv.org/abs/2607.06009v1,"Attributing code to the large language model that produced it is essential for provenance, licensing, and misuse accountability, yet no deployed watermark meets this need. Generation-time schemes require access to the producing model and cannot be applied to third-party code, while post-hoc schemes work on any code but carry at most 4 bits of payload, far too few to distinguish the many deployed model configurations. We present multi-channel spread-spectrum watermarking, the first post-hoc, training-free code watermark with a 24-bit payload and formal robustness guarantees. The scheme encodes bits in variable naming conventions and in eight pairs of semantically equivalent code patterns, and a keyed pseudo-random permutation maps every site to a codeword bit so that each bit receives multiple independent votes. Majority voting absorbs distributed corruption, while an outer Reed-Solomon code recovers the identifier when concentrated channel attacks defeat the vote, yielding provable robustness bounds for formatting, syntactic, and structural attacks. Across 1,750 Python files from CodeNet and from GPT-4.1 and Llama-4 generations, the watermark achieves 100% clean-detection accuracy with zero false positives. Under 17 attack types, it recovers the identifier at 97.6% accuracy under 8 variable renames and 94.1% under 10% random per-site corruption, while the strongest post-hoc baseline collapses to 0% under any single-transform attack. Embedding and detection together take under 200 ms on CPU without training data or GPU.","Introduces multi-channel spread-spectrum watermarking, the first post-hoc, training-free code watermark with a 24-bit payload and formal robustness guarantees. It spreads each bit across variable-naming and code-pattern channels with majority voting and an outer Reed-Solomon code to survive concentrated attacks. Reports 100% clean-detection accuracy and sub-200ms embedding/detection on CPU.","8.5/10 — Formal robustness guarantees, 17 distinct attack types, and concrete quantitative results (100% clean detection, sub-200ms embedding/detection). Docked slightly for being an unreviewed preprint with leftover ACM template boilerplate, a sign of rushed preparation."
PromptMark: A Prompt-Guided Iterative-Feedback Framework for Source Code Watermarking,"Fahad, Istiaq Ahmed; Nafis Fuad, Mridha Md; Sakib, Kazi",2026,"International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE - Proceedings",10.5220/0015012400004015,http://arxiv.org/abs/2606.20835v1,"Watermarking has become a crucial technique for ensuring provenance and accountability in AI-generated source code. As large language models (LLMs) are increasingly integrated into development workflows, reliable attribution remains challenging. In practice, most developers rely on commercial LLM APIs operating under black-box constraints, making existing approaches that require access to the decoding process less feasible for real-world integration. To address this limitation, we propose PromptMark, a black-box, prompt-guided watermarking framework that embeds invisible yet statistically detectable signals into generated code via structured input instructions. The method steers models toward subtle identifier and comment naming patterns while preserving the functional correctness and structural integrity of the generated code. Detection is performed using statistical tests designed to remain reliable across varying code lengths and model outputs. The embedding is further refined through an iterative feedback loop, where prompts are updated based on watermark detection scores. Experiments on the MBPP and HumanEval benchmarks show that PromptMark consistently achieves strong watermark detectability while maintaining high code correctness, outperforming baseline approaches. © 2026 by SCITEPRESS - Science and Technology Publications, Lda.","Introduces PromptMark, which steers a model's own generation through a keyed system prompt asking it to favor certain identifier initials, then verifies the resulting skew statistically. Notable for needing nothing beyond an ordinary prompt/response API. Published at ENASE 2026.","8.0/10 — The only method in this set that works purely through an ordinary prompt/response API, with detection reported at multiple false-positive operating points across two closed-source models. Evaluated on a narrower task set (HumanEval/MBPP only), and its 'clean' baseline is code generated without the watermark prompt rather than independent human-written code."
MATRIX: Multi-Layer Code Watermarking via Dual-Channel Constrained Parity-Check Encoding,Yuqing Nie; Chong Wang; Guosheng Xu; Guoai Xu; Chenyu Wang; Haoyu Wang; Kailong Wang,2026,arXiv preprint arXiv …,,http://arxiv.org/abs/2604.16001v1,"Code Large Language Models (Code LLMs) have revolutionized software development but raised critical concerns regarding code provenance, copyright protection, and security. Existing code watermarking approaches suffer from two fundamental limitations: black-box methods either exhibit detectable syntactic patterns vulnerable to statistical analysis or rely on implicit neural embedding behaviors that weaken interpretability, auditability, and precise control, while white-box methods lack code-aware capabilities that may compromise functionality. Moreover, current single-layer watermarking schemes fail to address increasingly complex provenance requirements such as multi-level attribution and version tracking.   We present MATRIX, a novel code watermarking framework that formulates watermark encoding as solving constrained parity-check matrix equations. MATRIX employs dual-channel watermarking through variable naming and semantic-preserving transformations, enhancing watermark coverage across a wider range of code while ensuring mutual backup for robustness. By integrating BCH error-correction codes with solution space diversity, our approach achieves robustness against statistical analysis. Extensive evaluation on Python code generated by multiple Code LLMs demonstrates that MATRIX achieves an average watermark detection accuracy of 99.20% with minimal functionality loss (0-0.14%), improves robustness by 7.70-26.67% against various attacks, and increases watermarking applicability by 2-6x compared with existing methods. These results establish MATRIX as an effective solution for complex code provenance scenarios while balancing among detectability, fidelity, and robustness.","Introduces MATRIX, which formulates watermark encoding as solving constrained parity-check matrix equations across two channels, variable naming and semantic-preserving transformations, combining BCH error correction with solution-space diversity for robustness against statistical analysis.","7.5/10 — Strong reported numbers (99.2% detection accuracy, formal error-correction via BCH codes), but it's an unreviewed preprint and the evaluation protocol is harder to verify from the abstract alone."
SWaRL: Safeguard Code Watermarking via Reinforcement Learning,Neusha Javidnia; Ruisi Zhang; Ashish Kundu; Farinaz Koushanfar,2026,arXiv preprint arXiv …,,http://arxiv.org/abs/2601.02602v2,"We present SWaRL, a robust and fidelity-preserving watermarking framework designed to protect the intellectual property of code LLMs by embedding unique and verifiable signatures in the generated program. Existing watermarking approaches either rely on handcrafted code transformations or manipulate token generation probabilities at inference time, making them vulnerable to removal attacks or prone to breaking functional correctness. To address these challenges, SWaRL employs a reinforcement learning-based co-training framework that uses compiler feedback for functional correctness and a jointly trained confidential verifier as a reward signal to maintain watermark detectability. Furthermore, SWaRL employs low-rank adaptation (LoRA) during fine-tuning, enabling efficient integration of watermarking behavior and transferability across model updates. Extensive experiments show that SWaRL achieves strong watermark detection accuracy compared to prior methods while fully maintaining watermarked code functionality. Moreover, SWaRL exhibits strong resilience against refactoring and adversarial transformation attacks, which maintains reliable attribution without substantial computational overhead.","Introduces SWaRL, which trains a code generator and a paired detector together via reinforcement learning, so the watermark emerges from the generation behavior itself rather than from a hand-designed rule.","7.0/10 — Original end-to-end learned approach (generator and detector co-trained), but robustness is only tested on one dataset (MBPP), and the training-based signal is less interpretable than rule-based alternatives."
CODE ACROSTIC: Robust Watermarking for Code Generation,"Lin, Li; Xin, Siyuan; Cao, Yang; Cao, Xiaochun",2026,Web Information Systems Engineering – WISE 2025,10.1007/978-981-95-7251-9_35,https://link.springer.com/chapter/10.1007/978-981-95-7251-9_35,"Watermarking large language models (LLMs) is vital for preventing their misuse, including the fabrication of fake news, plagiarism, and spam. It is especially important to watermark LLM-generated code, as it often contains intellectual property. However, we found that existing methods for watermarking LLM-generated code fail to address comment removal attack. In such cases, an attacker can simply remove the comments from the generated code without affecting its functionality, significantly reducing the effectiveness of current code-watermarking techniques. On the other hand, injecting a watermark into code is challenging because, as previous works have noted, most code represents a low-entropy scenario compared to natural language. Our approach to addressing this issue involves leveraging prior knowledge to distinguish between low-entropy and high-entropy parts of the code, as indicated by a Cue List of words. We then inject the watermark guided by this Cue List, achieving higher detectability and usability than existing methods. We evaluated our proposed method on HumanEval and compared our method with three state-of-the-art code watermarking techniques. The results demonstrate the effectiveness of our approach. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Introduces Code Acrostic, which derives safe watermark-embedding positions from a static reference-corpus cue list instead of recomputing the model's entropy at every generation step, cutting inference-time cost. Published at WISE 2025 (Springer).","6.5/10 — Efficient design that avoids recomputing entropy at each generation step, but its robustness evaluation covers only one, fairly weak attack (comment removal) — the narrowest attack coverage of the corpus."
CLASP: Training-Free LLM-Assisted Source Code Watermarking via Semantic-Preserving Transformations,Rui Xu; Jiawei Chen; Weizhi Liu; Zhaoxia Yin; Cong Kong; Xinpeng Zhang,2025,arXiv preprint arXiv …,,http://arxiv.org/abs/2510.11251v2,"The proliferation of open-source code and large language models (LLMs) for code generation has amplified the risks of unauthorized reuse and intellectual property infringement. Source code watermarking offers a potential solution, yet existing methods typically encode watermarks through identifiers, local code patterns, or limited handcrafted edits, leaving them vulnerable to renaming, refactoring, and adaptive watermark removal. These limitations hinder the joint achievement of robustness, capacity, generalization, and deployment efficiency. We propose CLASP, a Code LLM-Assisted Semantic-Preserving watermarking framework that enables training-free, plug-and-play watermarking for source code. CLASP embeds watermark bits within a fixed space of semantics-preserving transformations, enabling automated watermark insertion with higher capacity while remaining reusable across programming languages and less dependent on brittle lexical features. To recover the watermark, CLASP uses reference-code retrieval and differential comparison to identify transformation traces, avoiding task-specific model training while improving robustness to structural edits and adaptive attacks. Experiments across multiple programming languages show that CLASP consistently outperforms existing baselines in watermark extraction accuracy and robustness, while maintaining code quality under both random removal and adaptive de-watermarking attacks.","Introduces CLASP, a training-free, plug-and-play watermark that uses an LLM to pick semantics-preserving transformations from a fixed rule set, recovering the signal through reference-code retrieval and differential comparison rather than a trained extractor.","6.5/10 — Reasonable training-free design (an LLM selects semantics-preserving transformations), but the publicly available abstract gives no concrete accuracy or robustness numbers to assess evaluation rigor directly."
Marking Code Without Breaking It: Code Watermarking for Detecting LLM-Generated Code,"Kim, Jungin; Park, Shinwoo; Han, Yo-Sub",2026,"19th Conference of the European Chapter of the Association for Computational Linguistics, Findings of EACL 2026",10.18653/v1/2026.findings-eacl.207,https://aclanthology.org/2026.findings-eacl.207/,"Identifying LLM-generated code through watermarking poses a challenge in preserving functional correctness. Previous methods rely on the assumption that watermarking high-entropy tokens effectively maintains output quality. Our analysis reveals a fundamental limitation of this assumption: syntax-critical tokens such as keywords often exhibit the highest entropy, making existing approaches vulnerable to logic corruption. We present STONE, a syntax-aware watermarking method that embeds watermarks only in non-syntactic tokens and preserves code integrity. For rigorous evaluation, we also introduce STEM, a comprehensive metric that balances three critical dimensions: correctness, detectability, and imperceptibility. Across Python, C++, and Java, STONE preserves correctness, sustains strong detectability, and achieves balanced performance with minimal computational overhead. Our implementation is available at https://github.com/inistory/STONE-watermarking. ©2026 Association for Computational Linguistics.","Introduces STONE, which challenges the assumption that high-entropy positions are always safe to watermark and instead excludes syntax-critical tokens (keywords, operators, types) from the biasable vocabulary. Published in Findings of EACL 2026.","8.0/10 — Transparent, explicit selection rules (rather than a learned or opaque criterion) that fix a real flaw in prior entropy-based methods, with robustness tested against refactoring and paraphrasing. Main limitation is that the rules are language- and tokenizer-specific."
MCGMark: An Encodable and Robust Online Watermark for Tracing LLM-Generated Malicious Code,Kaiwen Ning; Jiachi Chen; Qingyuan Zhong; Tao Zhang; Yanlin Wang; Wei Li; Jingwen Zhang; Jianxing Yu; Yuming Feng; Weizhe Zhang; Zibin Zheng,2024,arXiv preprint arXiv …,,http://arxiv.org/abs/2408.01354v2,"With the advent of large language models (LLMs), numerous software service providers (SSPs) are dedicated to developing LLMs customized for code generation tasks, such as CodeLlama and Copilot. However, these LLMs can be leveraged by attackers to create malicious software, which may pose potential threats to the software ecosystem. For example, they can automate the creation of advanced phishing malware. To address this issue, we first conduct an empirical study and design a prompt dataset, MCGTest, which involves approximately 400 person-hours of work and consists of 406 malicious code generation tasks. Utilizing this dataset, we propose MCGMark, the first robust, code structure-aware, and encodable watermarking approach to trace LLM-generated code. We embed encodable information by controlling the token selection and ensuring the output quality based on probabilistic outliers. Additionally, we enhance the robustness of the watermark by considering the structural features of malicious code, preventing the embedding of the watermark in easily modified positions, such as comments. We validate the effectiveness and robustness of MCGMark on the DeepSeek-Coder. MCGMark achieves an embedding success rate of 88.9% within a maximum output limit of 400 tokens. Furthermore, it also demonstrates strong robustness and has minimal impact on the quality of the output code. Our approach assists SSPs in tracing and holding responsible parties accountable for malicious code generated by LLMs.","Introduces MCGMark, built to trace malicious code generated by LLMs; it encodes a 24-bit payload cyclically while deliberately skipping regions attackers can easily edit, such as comments, identifiers, and literals.",7.5/10 — Notably transparent about its own limits — it explicitly reports embedding-success rate rather than assuming every artifact can carry the payload — and tests a fairly wide range of attack types. Still an unreviewed preprint.
