title,authors,year,venue,doi,url,abstract,snowball_direction,status,reason
Code Fingerprints: Disentangled Attribution of LLM-Generated Code,Jiaxun Guo; Ziyuan Yang; Mengyu Sun; Hui Wang; Jingfeng Lu; Yi Zhang,2026,arXiv preprint,,https://arxiv.org/abs/2603.04212,"Studies model-level code attribution: determining which LLM produced a given code snippet. Proposes the Disentangled Code Attribution Network (DCAN), which separates source-agnostic semantic information from source-specific stylistic representations, then uses a classifier over the extracted fingerprints to identify the source model.",forward,excluded,"Introduces a passive attribution classifier trained on incidental stylistic/structural code features, not an active watermark that deliberately embeds a verifiable signal. Falls under this review's exclusion of passive code detection/attribution without a direct connection to watermarking."
GoCoMA: Hyperbolic Multimodal Representation Fusion for Large Language Model-Generated Code Attribution,Nitin Choudhury; Vikrant Vikram; Bhavinkumar Vinodbhai Kuwar; Arun Balaji Buduru,2026,arXiv preprint,,https://arxiv.org/abs/2604.16377,A multimodal framework that fuses code-stylometry features with image representations of pre-executable binary artifacts in a hyperbolic embedding space (via cross-modal attention) to attribute generated code to its source LLM.,forward,excluded,"Passive, stylometry-based attribution technique (no deliberately embedded signal) — same exclusion as above: out of scope for a review of active watermarking."
Is The Watermarking Of LLM-Generated Code Robust?,Tarun Suresh; Shubham Ugare; Gagandeep Singh; Sasa Misailovic,2024,arXiv preprint / Tiny Papers ICLR 2024,,https://arxiv.org/abs/2403.17983,"An empirical robustness study showing that realistic, semantics-preserving program modifications can break existing code-watermarking schemes, evaluated against prior methods rather than introducing a new one.",backward+forward,excluded,"Independent robustness evaluation of existing methods, not a study introducing or substantially adapting a new watermarking method. Treated as a secondary/evaluation study, consistent with how this review treats similar robustness papers (e.g., Cao et al. 2025) — retained for context, not as a primary study."
"Implicit Identity Technologies for LLMs: Fingerprinting and Watermarking across Datasets, Models, and Generated Content",Bing Liu; Shunping Wang; Yufan Zhu; Xinyi Yu; Jing Huang; Linkang Du; Hongbin Pei; Wei Luo,2026,arXiv preprint,,https://arxiv.org/abs/2605.29245,"A survey and taxonomy of LLM fingerprinting and watermarking techniques for identity, ownership verification, provenance, and generated-content attribution, spanning datasets, models, and generated content broadly (not code-specific).",forward,excluded,"Secondary study (survey), not a primary study introducing a watermarking method; also not specific to code. Secondary studies are retained for context only, not counted as primary studies."
PuzzleMark: Implicit Jigsaw Learning for Robust Code Dataset Watermarking in Neural Code Completion Models,Haocheng Huang; Yuchen Chen; Weisong Sun; Peizhuo Lv; Yuan Xiao; Chunrong Fang; Yang Liu; Xiaofang Zhang,2026,arXiv preprint (earlier version) / Proc. ACM Softw. Eng.,10.1145/3797122,https://arxiv.org/abs/2604.27677,Same paper already screened from the corpus (arXiv preprint version of the ACM PACMSE paper already present in 6_full_text_screening_excluded.csv).,forward,already in corpus,"This is an earlier arXiv version of PuzzleMark, already screened and excluded from this corpus as dataset-level (not artifact-level) watermarking. No new decision needed."
Optimizing Token Choice for Code Watermarking: An RL Approach,Guo et al.,2025,arXiv preprint,,http://arxiv.org/abs/2508.11925v3,"Protecting intellectual property on LLM-generated code necessitates effective watermarking systems that can operate within code's highly structured, syntactically constrained nature. In this work, we introduce CodeTracer, an innovative adaptive code watermarking framework underpinned by a novel reinforcement learning training paradigm. At its core, CodeTracer features a policy-driven approach that utilizes a parameterized model to intelligently bias token choices during next-token prediction. This strategy ensures that embedded watermarks maintain code functionality while exhibiting subtle yet statistically detectable deviations from typical token distributions. To facilitate policy learning, we devise a comprehensive reward system that seamlessly integrates execution feedback with watermark embedding signals, balancing process-level and outcome-level rewards. Additionally, we employ Gumbel Top-k reparameterization to enable gradient-based optimization of discrete watermarking decisions. Extensive comparative evaluations demonstrate CodeTracer's significant superiority over state-of-the-art baselines in both watermark detectability and the preservation of generated code's functionality. Our code is available at https://github.com/TimeLovercc/CodeTracer.",backward,already in corpus,"Same paper as 'Adaptive Code Watermarking Through Reinforcement Learning' (ICML 2026, included in our corpus) under its earlier arXiv preprint title; this earlier version was excluded as a superseded duplicate."
Large Language Models Are Effective Code Watermarkers,Xu et al.,2025,arXiv preprint,,http://arxiv.org/abs/2510.11251v2,"The proliferation of open-source code and large language models (LLMs) for code generation has amplified the risks of unauthorized reuse and intellectual property infringement. Source code watermarking offers a potential solution, yet existing methods typically encode watermarks through identifiers, local code patterns, or limited handcrafted edits, leaving them vulnerable to renaming, refactoring, and adaptive watermark removal. These limitations hinder the joint achievement of robustness, capacity, generalization, and deployment efficiency. We propose CLASP, a Code LLM-Assisted Semantic-Preserving watermarking framework that enables training-free, plug-and-play watermarking for source code. CLASP embeds watermark bits within a fixed space of semantics-preserving transformations, enabling automated watermark insertion with higher capacity while remaining reusable across programming languages and less dependent on brittle lexical features. To recover the watermark, CLASP uses reference-code retrieval and differential comparison to identify transformation traces, avoiding task-specific model training while improving robustness to structural edits and adaptive attacks. Experiments across multiple programming languages show that CLASP consistently outperforms existing baselines in watermark extraction accuracy and robustness, while maintaining code quality under both random removal and adaptive de-watermarking attacks.",backward,already in corpus,Same paper as 'CLASP: Training-Free LLM-Assisted Source Code Watermarking via Semantic-Preserving Transformations' (included in our corpus) under an earlier working title.
Robust and Secure Code Watermarking for Large Language Models via ML and Cryptographic Codesign,Zhang et al.,2024,arXiv preprint,,http://arxiv.org/abs/2502.02068v3,"This paper introduces RoSeMary, the first-of-its-kind ML/Crypto codesign watermarking framework that regulates LLM-generated code to avoid intellectual property rights violations and inappropriate misuse in software development. High-quality watermarks adhering to the detectability-fidelity-robustness tri-objective are limited due to codes' low-entropy nature. Watermark verification, however, often needs to reveal the signature and requires re-encoding new ones for code reuse, which potentially compromising the system's usability. To overcome these challenges, RoSeMary obtains high-quality watermarks by training the watermark insertion and extraction modules end-to-end to ensure (i) unaltered watermarked code functionality and (ii) enhanced detectability and robustness leveraging pre-trained CodeT5 as the insertion backbone to enlarge the code syntactic and variable rename transformation search space. In the deployment, RoSeMary uses zero-knowledge proofs for secure verification without revealing the underlying signatures. Extensive evaluations demonstrated RoSeMary achieves high detection accuracy while preserving the code functionality. RoSeMary is also robust against attacks and provides efficient secure watermark verification.",backward,already in corpus,"Same paper as 'Robust Zero Knowledge Verifiable Watermarking of Code LLMs with ML/Crypto Co-Design' (RoSeMary, ACM TAIS, included in our corpus) under its earlier arXiv preprint title; this earlier version was excluded as a superseded duplicate."
Towards Generalized and Stealthy Watermarking for Generative Code Models,Li et al.,2025,arXiv preprint arXiv:2506.20926,,https://arxiv.org/abs/2506.20926,"Generative code models (GCMs) significantly enhance development efficiency through automated code generation and code summarization. However, building and training these models require computational resources and time, necessitating effective digital copyright protection to prevent unauthorized leaks and misuse. Backdoor watermarking, by embedding hidden identifiers, simplifies copyright verification by breaking the model's black-box nature. Current backdoor watermarking techniques face two main challenges: first, limited generalization across different tasks and datasets, causing fluctuating verification rates; second, insufficient stealthiness, as watermarks are easily detected and removed by automated methods. To address these issues, we propose CodeGuard, a novel watermarking method combining attention mechanisms with distributed trigger embedding strategies. Specifically, CodeGuard employs attention mechanisms to identify watermark embedding positions, ensuring verifiability. Moreover, by using homomorphic character replacement, it avoids manual detection, while distributed trigger embedding reduces the likelihood of automated detection. Experimental results demonstrate that CodeGuard achieves up to 100% watermark verification rates in both code summarization and code generation tasks, with no impact on the primary task performance. In terms of stealthiness, CodeGuard performs exceptionally, with a maximum detection rate of only 0.078 against ONION detection methods, significantly lower than baseline methods.",backward,already in corpus,"Already assessed and excluded from our corpus: it protects the generative model's copyright (model-level), not an individual generated code artifact."
SrcMarker: Towards Code Watermarking with Dual-Channel Transformations,Yang et al.,2024,IEEE Symposium on Security and Privacy,10.1109/SP54263.2024.00097,https://ieeexplore.ieee.org/document/10646683,"The expansion of the open source community and the rise of large language models have raised ethical and security concerns on the distribution of source code, such as misconduct on copyrighted code, distributions without proper licenses, or misuse of the code for malicious purposes. Hence it is important to track the ownership of source code, in which watermarking is a major technique. Yet, drastically different from natural languages, source code watermarking requires far stricter and more complicated rules to ensure the readability as well as the functionality of the source code. Hence we introduce SrcMarker, a watermarking system to unobtrusively encode ID bitstrings into source code, without affecting the usage and semantics of the code. To this end, SrcMarker performs transformations on an AST-based intermediate representation that enables unified transformations across different programming languages. The core of the system utilizes learning-based embedding and extraction modules to select rule-based transformations for watermarking. In addition, a novel feature-approximation technique is designed to tackle the inherent non-differentiability of rule selection, thus seamlessly integrating the rule-based transformations and learning-based networks into an interconnected system to enable end-to-end training. Extensive experiments demonstrate the superiority of SrcMarker over existing methods in various watermarking requirements. © 2024 IEEE.",backward,already in corpus,"Fahad & Fuad's citation conflates two versions of the same work: the published IEEE S&P 2024 paper 'SrcMarker' (included in our corpus) and its earlier arXiv preprint 'Towards Code Watermarking with Dual-Channel Transformations' (also in our corpus, excluded as a superseded duplicate)."
