Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Decomposition then watermarking: Enhancing code traceability with dual-channel code watermarking,Automated Software Engineering,,,,10.1007/s10515-025-00561-1,Haibo LinZhong LiRuihua JiMinxue PanTian ZhangNan WuXuandong Li,2025,https://link.springer.com/article/10.1007/s10515-025-00561-1,Article
CODE ACROSTIC: Robust Watermarking for&#xa0;Code Generation,Web Information Systems Engineering – WISE 2025,,,,10.1007/978-981-95-7251-9_35,Li LinSiyuan XinYang CaoXiaochun Cao,2026,https://link.springer.com/chapter/10.1007/978-981-95-7251-9_35,Conference paper
Building intelligence identification system via large language model watermarking: a survey and beyond,Artificial Intelligence Review,,,,10.1007/s10462-025-11222-w,Xuhong WangHaoyu JiangYi YuJingru YuYilun LinPing YiYingchun WangYu QiaoLi LiFei-Yue Wang,2025,https://link.springer.com/article/10.1007/s10462-025-11222-w,Article
Scalable watermarking for identifying large language model outputs,Nature,,,,10.1038/s41586-024-08025-4,Sumanth DathathriAbigail SeeSumedh GhaisasPo-Sen HuangRob McAdamJohannes WelblVandana BachaniAlex KaskasoliRobert StanforthTatiana MatejovicovaJamie HayesNidhi VyasMajd Al MereyJonah Brown-CohenRudy BunelBorja BalleTaylan CemgilZahra AhmedKitty StacpooleIlia ShumailovCiprian BaetuSven GowalDemis HassabisPushmeet Kohli,2024,https://link.springer.com/article/10.1038/s41586-024-08025-4,Article
A Code Generation Watermarking Method Based on Double Threshold,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9812-7_22,Yunsong HeZhenkui ShiJiahao ZengZhile CaoJinxing ChenXin Hu,2025,https://link.springer.com/chapter/10.1007/978-981-96-9812-7_22,Conference paper
Entropy-Aware Watermarking for&#xa0;Code Generation Models,Machine Learning for Cyber Security,,,,10.1007/978-981-95-7820-7_13,Ying ShiSiyuan BaoHanzhou WuJingyu YeXinpeng Zhang,2026,https://link.springer.com/chapter/10.1007/978-981-95-7820-7_13,Conference paper
Watermarking techniques for large language models: a survey,Artificial Intelligence Review,,,,10.1007/s10462-025-11474-6,Yuqing LiangJiancheng XiaoWensheng GanPhilip S. Yu,2026,https://link.springer.com/article/10.1007/s10462-025-11474-6,Article
Beyond Detection: A Checksum-Based Dual Verification Mechanism for&#xa0;Host LLM Watermarking,Neural Information Processing,,,,10.1007/978-981-95-4381-6_24,Xiaofan DengJunfeng ZhuKexin YuYongtao Yu,2026,https://link.springer.com/chapter/10.1007/978-981-95-4381-6_24,Conference paper
Copyright Protection for&#xa0;Large Language Model EaaS via&#xa0;Unforgeable Backdoor Watermarking,Pattern Recognition,,,,10.1007/978-3-031-78498-9_1,Cong KongJiawei ChenShunquan TanZhaoxia YinXinpeng Zhang,2025,https://link.springer.com/chapter/10.1007/978-3-031-78498-9_1,Conference paper
"Overview of&#xa0;PAN 2026: Voight-Kampff Generative AI Detection, Text Watermarking, Multi-author Writing Style Analysis, Generative Plagiarism Detection, and&#xa0;Reasoning Trajectory Detection",Advances in Information Retrieval,,,,10.1007/978-3-032-21321-1_32,Janek BevendorffMaik FröbeAndré Greiner-PetterAndreas JakobyMaximilian MayerlPreslav NakovHenry PlutzMartin PotthastBenno SteinMinh Ngoc TaYuxia WangEva Zangerle,2026,https://link.springer.com/chapter/10.1007/978-3-032-21321-1_32,Conference paper
AI watermarking must be watertight to be effective,Nature,,,,10.1038/d41586-024-03418-x,,2024,https://www.nature.com/articles/d41586-024-03418-x,Article
Gamark: adaptive entropy-threshold watermarking via gaussian mixture modeling for large language models,Cybersecurity,,,,10.1186/s42400-026-00607-1,Jing ZhaoHongwei YangHengji DongHui HeWeizhe Zhang,2026,https://link.springer.com/article/10.1186/s42400-026-00607-1,Article
Google unveils invisible ‘watermark’ for AI-generated text,Nature,,,,10.1038/d41586-024-03462-7,Elizabeth Gibney,2024,https://www.nature.com/articles/d41586-024-03462-7,Article
A neural‑guided spread spectrum watermarking framework for diagnostic medical imaging,Journal of Ambient Intelligence and Humanized Computing,,,,10.1007/s12652-026-05095-2,Ikram HaciniMed Sayah MoadMed Redouane KafiNarima ZermiAmine KhaldiAkram BoukhamlaAditya Kumar Sahu,2026,https://link.springer.com/article/10.1007/s12652-026-05095-2,Article
"Artificial intelligence, text generation tools and ChatGPT – does digital watermarking offer a solution?",International Journal for Educational Integrity,,,,10.1007/s40979-023-00131-6,Thomas Lancaster,2023,https://link.springer.com/article/10.1007/s40979-023-00131-6,Article
Memory-Recall-Based Watermarking for&#xa0;Data Misuse Detection in&#xa0;Large Language Models,Digital Forensics and Cyber Crime,,,,10.1007/978-3-032-22542-9_4,Shensi XuShu Wu,2027,https://link.springer.com/chapter/10.1007/978-3-032-22542-9_4,Conference paper
Towards Trustworthy Text Image Recovery: Semantic Traceability with Watermark Indexing and Diffusion Inpainting,Applied Intelligence,,,,10.1007/978-981-95-7087-4_33,Qingwen ZhuLi DongHaoxuan Han,2026,https://link.springer.com/chapter/10.1007/978-981-95-7087-4_33,Conference paper
FreMark: Frequency-Domain Watermark Embedding in&#xa0;Quantized LLMs,Data Security and Privacy Protection,,,,10.1007/978-981-95-3185-1_14,Pengyu ChenZiyu DingYaqi WuPeigen Ye,2026,https://link.springer.com/chapter/10.1007/978-981-95-3185-1_14,Conference paper
EATER: Entropy-Aware Multi-bit Watermarking for&#xa0;Large Language Models,"Knowledge Science, Engineering and Management",,,,10.1007/978-981-92-2759-4_41,Ran RanKeke GaiJing Yu,2027,https://link.springer.com/chapter/10.1007/978-981-92-2759-4_41,Conference paper
Assessing Maryland Watermark Robustness Against Paraphrasing Attacks,Innovations in Data Analytics,,,,10.1007/978-981-96-6300-2_28,Rajiv Kumar,2025,https://link.springer.com/chapter/10.1007/978-981-96-6300-2_28,Conference paper
Certifiably Robust Image Watermark,Computer Vision – ECCV 2024,,,,10.1007/978-3-031-72980-5_25,Zhengyuan JiangMoyang GuoYuepeng HuJinyuan JiaNeil Zhenqiang Gong,2024,https://link.springer.com/chapter/10.1007/978-3-031-72980-5_25,Conference paper
Reliable Multi-bit Watermark for Large Language Models via Robust Encoding and Green-Zone Refinement,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9958-2_12,Wenqin JinWeihai Li,2025,https://link.springer.com/chapter/10.1007/978-981-96-9958-2_12,Conference paper
A study of watermarking techniques for data publishing,Multimedia Tools and Applications,,,,10.1007/s11042-025-20886-z,Shuguang YuanJing YuKe YangYuyang WangZhaochen LiJiabao QiuTengfei YangChi Chen,2025,https://link.springer.com/article/10.1007/s11042-025-20886-z,Article
Large-scale traceable and robust watermarking for diffusion models with precise affine coupling flow encoding,Applied Intelligence,,,,10.1007/s10489-026-07217-x,Jiayue ZhangXiaobing KangYiting GuanJiayi Du,2026,https://link.springer.com/article/10.1007/s10489-026-07217-x,Article
"Detecting the undetectable: an enhanced GAN-BERT framework with ensemble learning, statistical features, and watermarking for robust AI-generated text detection",Knowledge and Information Systems,,,,10.1007/s10115-026-02831-0,Shivam Shrikant ZampleAshu Kaushik,2026,https://link.springer.com/article/10.1007/s10115-026-02831-0,Article
Open Zero-Watermarking Approach to&#xa0;Prevent the&#xa0;Unauthorized Use of&#xa0;Images in&#xa0;Deep Learning,Intelligent Systems and Applications,,,,10.1007/978-3-031-66431-1_27,Ryan DownsDaryl IllangovanGermán H. Alférez,2024,https://link.springer.com/chapter/10.1007/978-3-031-66431-1_27,Conference paper
"NLWM: A&#xa0;Robust, Efficient and&#xa0;High-Quality Watermark for&#xa0;Large Language Models",Web Information Systems Engineering – WISE 2024,,,,10.1007/978-981-96-0576-7_24,Mengting SongZiyuan LiKai LiuMin PengGang Tian,2025,https://link.springer.com/chapter/10.1007/978-981-96-0576-7_24,Conference paper
The Latent Seal: Robust Model Watermarking for Latent Diffusion Model,Machine Intelligence Research,,,,10.1007/s11633-025-1620-y,Qin ZhaoTong LiuXiaochen YuanGuoheng HuangXueyuan GongWei Wang,2026,https://link.springer.com/article/10.1007/s11633-025-1620-y,Article
SemBits: Multi-bit Semantic Watermarking with&#xa0;Sentence-Level Hashing for&#xa0;LLMs,Data Security and Privacy Protection,,,,10.1007/978-981-95-3185-1_12,Xiangyu FengPei-Gen Ye,2026,https://link.springer.com/chapter/10.1007/978-981-95-3185-1_12,Conference paper
A Watermark for Image Model on VQGAN Framework,Proceedings of the 14th International Conference on Computer Engineering and Networks,,,,10.1007/978-981-96-4229-8_18,Yi LinLi WangHao ZhangYunong Liu,2025,https://link.springer.com/chapter/10.1007/978-981-96-4229-8_18,Conference paper
A Watermark-Conditioned Diffusion Model for&#xa0;IP Protection,Computer Vision – ECCV 2024,,,,10.1007/978-3-031-72890-7_7,Rui MinSen LiHongyang ChenMinhao Cheng,2025,https://link.springer.com/chapter/10.1007/978-3-031-72890-7_7,Conference paper
LaWa: Using Latent Space for&#xa0;In-Generation Image Watermarking,Computer Vision – ECCV 2024,,,,10.1007/978-3-031-73024-5_8,Ahmad RezaeiMohammad AkbariSaeed Ranjbar AlvarArezou FatemiYong Zhang,2025,https://link.springer.com/chapter/10.1007/978-3-031-73024-5_8,Conference paper
AEMT-ZM: absolute embedding enclosed modified transformers with self-attention based zero-watermarking for securing medical data,The Journal of Supercomputing,,,,10.1007/s11227-026-08475-9,Dhiran Kumar MahtoRajesh Dwivedi,2026,https://link.springer.com/article/10.1007/s11227-026-08475-9,Article
A PSO-optimized self-supervised convolutional network for robust image watermark removal,Scientific Reports,,,,10.1038/s41598-026-44497-2,Taghi Javdani GandomaniMaryam KarimiMahdi MoslehMaedeh Dashti,2026,https://link.springer.com/article/10.1038/s41598-026-44497-2,Article
Audio Deep Watermarking and&#xa0;Algebraic Transform,"Lecture Notes in Data Engineering, Computational Intelligence, and Decision-Making, Volume 2",,,,10.1007/978-3-031-88483-2_8,Olena VynokurovaDmytro PeleshkoMarta PeleshkoMaksym KapysSerhii Shatilo,2025,https://link.springer.com/chapter/10.1007/978-3-031-88483-2_8,Conference paper
